time (sec),level (dB(SPL))
0.1,75.0944
0.2,79.4403
0.3,77.8724
0.4,75.595
0.5,77.1579
0.6,74.442
0.7,79.4946
0.8,82.7042
0.9,78.7353
1,76.6222
1.1,77.3074
1.2,76.325
1.3,74.2102
1.4,74.5092
1.5,76.349
1.6,81.632
1.7,84.723
1.8,79.5207
1.9,76.8494
2,77.7363
2.1,76.3463
2.2,77.3672
2.3,77.0357
2.4,76.9667
2.5,77.0775
2.6,76.6617
2.7,77.956
2.8,78.338
2.9,76.8546
3,77.7744
3.1,76.9691
3.2,76.8253
3.3,76.9987
3.4,77.1539
3.5,77.4647
3.6,79.2122
3.7,77.7282
3.8,77.9515
3.9,80.7451
4,78.2288
4.1,76.9539
4.2,79.0681
4.3,79.131
4.4,77.1635
4.5,79.0289
4.6,80.128
4.7,77.8981
4.8,76.5776
4.9,76.885
5,76.6667
5.1,77.2732
5.2,76.6291
5.3,76.6227
5.4,79.4093
5.5,80.8666
5.6,78.1283
5.7,76.982
5.8,86.2879
5.9,87.8311
6,80.089
6.1,78.0654
6.2,77.967
6.3,77.6768
6.4,77.2996
6.5,76.5806
6.6,77.7582
6.7,77.8802
6.8,77.7078
6.9,76.8755
7,77.6191
7.1,78.9486
7.2,76.4979
7.3,76.4765
7.4,76.4887
7.5,76.4352
7.6,76.487
7.7,76.5724
7.8,76.9873
7.9,77.1041
8,80.0334
8.1,77.6012
8.2,77.0797
8.3,76.6002
8.4,76.563
8.5,76.726
8.6,77.2887
8.7,78.4615
8.8,77.9327
8.9,77.3148
9,79.2007
9.1,78.0108
9.2,76.9761
9.3,77.4303
9.4,76.9834
9.5,77.0362
9.6,77.0084
9.7,77.1374
9.8,77.418
9.9,76.9987
10,76.6686
10.1,76.9333
10.2,77.272
10.3,76.6011
10.4,76.6679
10.5,76.5741
10.6,76.9447
10.7,76.6301
10.8,76.4893
10.9,76.977
11,76.6331
11.1,77.4547
11.2,80.311
11.3,79.2748
11.4,79.8791
11.5,76.8029
11.6,76.5274
11.7,76.5812
11.8,76.5505
11.9,77.3094
12,79.4794
12.1,79.1906
12.2,78.4166
12.3,88.0127
12.4,77.6665
12.5,77.2499
12.6,78.0763
12.7,81.44
12.8,76.8843
12.9,76.5233
13,76.5242
13.1,76.6527
13.2,81.3632
13.3,79.2239
13.4,80.0092
13.5,81.2964
13.6,82.1868
13.7,83.1759
13.8,78.429
13.9,76.8954
14,76.4548
14.1,76.6252
14.2,78.6107
14.3,77.7445
14.4,77.1691
14.5,76.887
14.6,78.8932
14.7,82.7913
14.8,79.8539
14.9,77.0011
15,80.0477
15.1,79.7329
15.2,78.2175
15.3,78.3288
15.4,77.2676
15.5,77.0442
15.6,77.4928
15.7,78.1075
15.8,79.2295
15.9,77.0015
16,76.6417
16.1,77.5011
16.2,78.2777
16.3,77.0764
16.4,77.1366
16.5,76.9219
16.6,78.5315
16.7,79.5723
16.8,77.386
16.9,76.8492
17,77.2291
17.1,77.2809
17.2,77.5704
17.3,76.9326
17.4,77.2519
17.5,78.1391
17.6,79.6108
17.7,77.7999
17.8,77.0918
17.9,76.5926
18,77.1741
18.1,76.5903
18.2,76.9029
18.3,76.7999
18.4,76.6393
18.5,76.8067
18.6,76.8072
18.7,76.6465
18.8,76.8502
18.9,83.0639
19,81.8569
19.1,80.4345
19.2,76.6536
19.3,77.7681
19.4,77.4499
19.5,76.3281
19.6,76.9461
19.7,77.0154
19.8,76.5642
19.9,78.2162
20,78.3337
20.1,76.4598
20.2,76.2769
20.3,76.3593
20.4,76.2816
20.5,77.1038
20.6,77.2196
20.7,77.2326
20.8,80.2065
20.9,76.8637
21,77.5139
21.1,77.7875
21.2,76.3903
21.3,76.5399
21.4,76.5757
21.5,76.7354
21.6,76.4019
21.7,78.5449
21.8,80.2746
21.9,81.6935
22,78.1643
22.1,76.5734
22.2,76.3618
22.3,76.3656
22.4,76.9789
22.5,76.4523
22.6,77.2698
22.7,81.1755
22.8,79.0153
22.9,76.6738
23,76.4505
23.1,76.4485
23.2,78.5187
23.3,79.0495
23.4,81.2666
23.5,78.0349
23.6,80.3365
23.7,78.7244
23.8,76.8145
23.9,76.6402
24,76.5195
24.1,77.6412
24.2,81.9678
24.3,77.0283
24.4,77.481
24.5,77.4415
24.6,76.6284
24.7,76.4225
24.8,77.7406
24.9,76.6098
25,76.3036
25.1,76.3583
25.2,76.687
25.3,76.6179
25.4,76.401
25.5,77.3405
25.6,82.317
25.7,79.081
25.8,76.803
25.9,76.729
26,77.0098
26.1,80.997
26.2,77.0685
26.3,76.7476
26.4,76.8164
26.5,82.3112
26.6,76.7306
26.7,76.344
26.8,77.5983
26.9,76.5957
27,76.5513
27.1,76.4366
27.2,76.6562
27.3,77.2136
27.4,76.5894
27.5,76.409
27.6,76.5187
27.7,78.9724
27.8,76.3835
27.9,76.3863
28,76.9051
28.1,76.6289
28.2,76.3908
28.3,76.8062
28.4,76.3438
28.5,76.3941
28.6,76.3673
28.7,76.4089
28.8,78.2958
28.9,80.0374
29,77.7623
29.1,76.4495
29.2,76.9879
29.3,76.65
29.4,80.6385
29.5,80.4523
29.6,76.8239
29.7,76.5184
29.8,76.4142
29.9,76.3471
30,76.3406
30.1,77.2553
30.2,76.7791
30.3,76.6131
30.4,80.409
30.5,79.0384
30.6,82.2026
30.7,80.6853
30.8,76.8311
30.9,76.6302
31,76.7168
31.1,76.7268
31.2,76.5262
31.3,76.5306
31.4,76.6988
31.5,76.9434
31.6,77.01
31.7,76.7924
31.8,76.5226
31.9,76.4938
32,76.4749
32.1,76.5162
32.2,76.4901
32.3,77.2263
32.4,77.4644
32.5,77.6968
32.6,76.6307
32.7,77.8386
32.8,77.6722
32.9,78.6462
33,78.1247
33.1,77.5091
33.2,76.659
33.3,76.6641
33.4,76.8849
33.5,76.7473
33.6,76.6073
33.7,76.5122
33.8,77.265
33.9,76.5685
34,76.5782
34.1,76.8372
34.2,76.6979
34.3,76.7372
34.4,76.4598
34.5,76.5748
34.6,76.4106
34.7,77.7221
34.8,77.0495
34.9,76.5302
35,76.5163
35.1,76.6715
35.2,77.5654
35.3,77.7185
35.4,77.9829
35.5,77.4847
35.6,77.1606
35.7,76.5176
35.8,76.4898
35.9,77.0141
36,78.5693
36.1,80.0126
36.2,76.715
36.3,77.1946
36.4,86.9135
36.5,77.1957
36.6,78.1779
36.7,81.3997
36.8,76.9294
36.9,76.6399
37,77.2073
37.1,78.8912
37.2,77.0117
37.3,77.2973
37.4,76.4429
37.5,76.2672
37.6,76.2447
37.7,79.1967
37.8,77.3777
37.9,76.3468
38,76.2683
38.1,76.6049
38.2,82.5758
38.3,77.4045
38.4,76.2856
38.5,77.37
38.6,76.8751
38.7,76.6968
38.8,76.8923
38.9,77.1295
39,77.5474
39.1,77.2618
39.2,77.3309
39.3,76.0763
39.4,76.5407
39.5,75.6369
39.6,74.2313
39.7,74.0544
39.8,74.0806
39.9,74.0739
40,73.8089
40.1,74.0217
40.2,73.7698
40.3,74.0054
40.4,73.8788
40.5,73.7301
40.6,73.8007
40.7,73.7809
40.8,73.6523
40.9,76.9766
41,77.711
41.1,74.0968
41.2,74.2745
41.3,74.8185
41.4,73.4775
41.5,74.2734
41.6,74.052
41.7,74.3711
41.8,80.1978
41.9,80.284
42,74.2955
42.1,74.9226
42.2,73.8359
42.3,74.1317
42.4,73.5907
42.5,73.746
42.6,73.6129
42.7,73.544
42.8,73.4949
42.9,73.6578
43,73.6424
43.1,73.5147
43.2,73.5921
43.3,74.3595
43.4,78.9813
43.5,80.1805
43.6,75.2272
43.7,77.976
43.8,86.9248
43.9,78.5513
44,75.4903
44.1,73.6568
44.2,74.1043
44.3,76.2201
44.4,75.1503
44.5,82.92
44.6,84.4498
44.7,74.743
44.8,75.203
44.9,76.0035
45,73.8178
45.1,74.8255
45.2,75.3057
45.3,73.9439
45.4,73.7028
45.5,73.6035
45.6,73.6117
45.7,73.6086
45.8,73.6933
45.9,73.5704
46,73.9702
46.1,76.1775
46.2,78.1367
46.3,76.6991
46.4,75.9747
46.5,75.1289
46.6,74.4715
46.7,76.5071
46.8,81.0916
46.9,78.2148
47,86.2859
47.1,82.2753
47.2,74.5716
47.3,74.4698
47.4,76.3158
47.5,75.2232
47.6,74.4879
47.7,74.4521
47.8,75.3304
47.9,78.8622
48,74.9244
48.1,76.9037
48.2,74.8804
48.3,75.1552
48.4,75.1381
48.5,74.6583
48.6,74.9946
48.7,74.0462
48.8,73.8954
48.9,73.7478
49,73.6699
49.1,73.6879
49.2,73.6636
49.3,73.7122
49.4,73.7946
49.5,73.7179
49.6,75.9663
49.7,79.3402
49.8,75.9106
49.9,76.5126
50,74.153
50.1,73.7642
50.2,73.8
50.3,74.5145
50.4,75.9483
50.5,73.9177
50.6,73.8623
50.7,73.8936
50.8,74.0551
50.9,81.4082
51,77.0585
51.1,74.2435
51.2,73.9925
51.3,73.7571
51.4,73.8569
51.5,73.8635
51.6,73.9145
51.7,74.3392
51.8,76.3479
51.9,80.1122
52,74.9202
52.1,74.3814
52.2,74.4417
52.3,75.0513
52.4,78.1001
52.5,76.7243
52.6,76.4627
52.7,74.6587
52.8,75.4519
52.9,76.4357
