time (sec),level (dB(SPL))
0.1,74.46
0.2,78.8105
0.3,72.5653
0.4,81.4866
0.5,79.5003
0.6,82.3398
0.7,76.0587
0.8,81.8296
0.9,72.3178
1,80.7529
1.1,71.7161
1.2,76.8374
1.3,76.6898
1.4,73.5414
1.5,84.3003
1.6,77.5225
1.7,80.9296
1.8,84.6251
1.9,76.8771
2,83.0241
2.1,78.8856
2.2,74.2697
2.3,74.1485
2.4,75.7107
2.5,75.9863
2.6,75.032
2.7,77.7762
2.8,88.3043
2.9,87.0173
3,77.0571
3.1,75.9233
3.2,79.3983
3.3,85.5142
3.4,73.6316
3.5,71.6726
3.6,75.5349
3.7,70.5891
3.8,69.1777
3.9,65.4413
4,53.929
4.1,53.3248
4.2,54.7175
4.3,52.0361
4.4,52.2465
4.5,51.9773
4.6,53.8265
4.7,52.8717
4.8,52.7655
4.9,53.9727
5,71.999
5.1,80.7127
5.2,68.5595
5.3,79.0313
5.4,69.9218
5.5,73.5099
5.6,71.1689
5.7,66.2398
5.8,84.4549
5.9,68.2425
6,62.8043
6.1,70.1236
6.2,73.3514
6.3,68.8308
6.4,73.274
6.5,79.9778
6.6,68.2183
6.7,79.4495
6.8,81.2437
6.9,81.5084
7,71.0397
7.1,78.7893
7.2,72.8589
7.3,70.1136
7.4,73.0319
7.5,79.0866
7.6,74.6421
7.7,69.2803
7.8,65.2558
7.9,60.287
8,68.6399
8.1,60.4341
8.2,67.7506
8.3,66.7698
8.4,64.5456
8.5,59.828
8.6,69.4004
8.7,75.5808
8.8,76.5976
8.9,70.1288
9,77.4212
9.1,88.1661
9.2,82.0745
9.3,66.4687
9.4,79.6889
9.5,63.0982
9.6,59.9386
9.7,63.9091
9.8,57.133
9.9,73.6573
10,84.1737
10.1,71.6083
10.2,67.2632
10.3,70.7723
10.4,69.2846
10.5,66.1643
10.6,60.9267
10.7,54.223
10.8,54.5473
10.9,64.8197
11,65.5423
11.1,64.117
11.2,74.4784
11.3,67.2477
11.4,75.358
11.5,74.2279
11.6,67.1318
11.7,68.6436
11.8,68.4175
11.9,64.2938
12,54.353
12.1,60.4239
12.2,64.0875
12.3,71.1054
12.4,65.7496
12.5,63.3248
12.6,67.1944
12.7,73.2164
12.8,65.6538
12.9,63.9835
13,69.3632
13.1,67.6439
13.2,64.4902
13.3,60.99
13.4,52.8337
13.5,52.8159
13.6,51.7096
13.7,77.5194
13.8,78.7776
13.9,75.6711
14,79.8686
14.1,82.3062
14.2,78.6262
14.3,60.14
14.4,53.1235
14.5,53.679
14.6,55.7489
14.7,55.1192
14.8,75.4604
14.9,52.8083
15,69.5952
15.1,69.8375
15.2,73.251
15.3,69.092
15.4,71.3723
15.5,70.0334
15.6,71.5247
15.7,74.5032
15.8,67.6212
15.9,62.0035
16,75.6308
16.1,72.8528
16.2,68.2132
16.3,71.1254
16.4,74.3858
16.5,73.5901
16.6,70.58
16.7,77.4259
16.8,69.6212
16.9,72.9213
17,65.5245
17.1,64.3536
17.2,62.5562
17.3,63.0653
17.4,61.7215
17.5,61.8579
17.6,66.5158
17.7,69.5318
17.8,66.6419
17.9,60.8416
18,76.7041
18.1,76.5865
18.2,64.5577
18.3,60.2421
18.4,77.1049
18.5,74.8259
18.6,70.4199
18.7,64.8613
18.8,77.7029
18.9,70.3322
19,68.4529
19.1,62.488
19.2,69.9535
19.3,60.9372
19.4,55.525
19.5,52.6433
19.6,53.9148
19.7,54.5408
19.8,54.0961
19.9,51.7677
20,64.9154
20.1,62.7092
20.2,61.1283
20.3,65.3573
20.4,60.4894
20.5,54.6314
20.6,53.6885
20.7,56.3132
20.8,55.1909
20.9,53.246
21,66.5379
21.1,84.1945
21.2,85.2249
21.3,80.1712
21.4,81.3029
21.5,80.886
21.6,72.6773
21.7,72.5542
21.8,62.898
21.9,66.0512
22,68.4819
22.1,69.6225
22.2,65.2535
22.3,72.175
22.4,87.029
22.5,72.1484
22.6,71.5528
22.7,62.8575
22.8,67.4338
22.9,61.0849
23,70.2797
23.1,62.0103
23.2,68.9506
23.3,64.9918
23.4,69.4572
23.5,67.6663
23.6,65.4925
23.7,58.119
23.8,63.6007
23.9,60.4997
24,50.8827
24.1,67.1718
24.2,78.1916
24.3,74.3131
24.4,65.5738
24.5,66.7535
24.6,73.2316
24.7,73.4696
24.8,69.8159
24.9,62.856
25,63.1889
25.1,63.7381
25.2,60.4753
25.3,57.5159
25.4,56.1798
25.5,62.459
25.6,60.0934
25.7,59.6752
25.8,55.7971
25.9,51.9791
26,69.0053
26.1,71.4634
26.2,69.9855
26.3,61.7754
26.4,58.0165
26.5,66.5459
26.6,72.7184
26.7,67.3112
26.8,58.4418
26.9,75.5701
27,68.335
27.1,67.0935
27.2,52.235
27.3,67.5287
27.4,66.3302
27.5,64.8569
27.6,61.7069
27.7,70.814
27.8,63.5665
27.9,59.582
28,54.7212
28.1,61.0593
28.2,63.0499
28.3,65.474
28.4,58.0188
28.5,71.4554
28.6,75.097
28.7,59.2641
28.8,79.0701
28.9,71.4921
29,68.4018
29.1,74.7013
29.2,70.0895
29.3,67.5673
29.4,72.7366
29.5,71.3436
29.6,69.9984
29.7,79.0889
29.8,70.6955
29.9,67.7983
30,60.6072
30.1,73.3059
30.2,67.2222
30.3,65.1831
30.4,75.0541
30.5,61.6063
30.6,58.8062
30.7,63.1258
30.8,65.7176
30.9,63.2424
31,55.8794
31.1,53.5108
31.2,59.1065
31.3,62.4711
31.4,63.16
31.5,58.7021
31.6,55.5722
31.7,55.9559
31.8,80.8823
31.9,78.1281
32,86.6816
32.1,68.1118
32.2,70.226
32.3,74.2684
32.4,67.9581
32.5,58.7502
32.6,70.4343
32.7,72.8955
32.8,78.3995
32.9,79.9788
33,61.3413
33.1,71.01
33.2,71.8917
33.3,72.1837
33.4,68.9516
33.5,58.2423
33.6,52.3738
33.7,56.221
33.8,54.4742
33.9,61.332
34,65.5689
34.1,68.7243
34.2,85.1029
34.3,84.6901
34.4,81.6061
34.5,75.4656
34.6,65.63
34.7,72.2904
34.8,77.7545
34.9,74.7637
35,64.6371
35.1,67.5263
35.2,66.865
35.3,62.972
35.4,58.5626
35.5,72.3104
35.6,66.529
35.7,62.306
35.8,70.9103
35.9,73.1825
36,67.9869
36.1,54.5929
36.2,68.7835
36.3,66.8303
36.4,63.3822
36.5,57.1929
36.6,52.5169
36.7,51.3319
36.8,52.017
36.9,59.2034
37,66.5228
37.1,76.7417
37.2,56.2805
37.3,66.2017
37.4,71.1806
37.5,79.3604
37.6,74.1379
37.7,73.5121
37.8,64.7581
37.9,64.0278
38,61.5963
38.1,53.9018
38.2,60.437
38.3,70.5192
38.4,67.9433
38.5,64.5478
38.6,62.9596
38.7,72.5747
38.8,75.5204
38.9,68.586
39,65.3179
39.1,71.0079
39.2,71.3288
39.3,58.2883
39.4,54.5644
39.5,56.1412
39.6,59.7249
39.7,71.3367
39.8,66.6785
39.9,59.6389
40,57.6609
40.1,58.3727
40.2,57.0402
40.3,57.3631
40.4,52.7097
40.5,54.8852
40.6,78.7608
40.7,68.1252
40.8,69.1651
40.9,66.0056
41,72.1072
41.1,69.4759
41.2,84.1928
41.3,86.8653
41.4,73.3539
41.5,73.9986
41.6,66.119
41.7,72.1097
41.8,67.9437
41.9,67.39
42,65.8974
42.1,54.5381
42.2,62.5104
42.3,55.8458
42.4,65.628
42.5,66.992
42.6,63.4039
42.7,79.1352
42.8,79.2725
42.9,65.6692
43,65.4008
43.1,69.1817
43.2,51.6586
43.3,62.1738
43.4,68.9819
43.5,73.2901
