time (sec),level (dB(SPL))
0.1,77.4155
0.2,78.5358
0.3,76.7887
0.4,74.8323
0.5,70.8808
0.6,72.0341
0.7,70.2587
0.8,68.4632
0.9,86.745
1,78.6839
1.1,71.3791
1.2,82.8297
1.3,79.8661
1.4,68.7608
1.5,68.2029
1.6,56.2635
1.7,65.4914
1.8,79.3637
1.9,77.2293
2,75.3498
2.1,77.8968
2.2,80.6977
2.3,86.151
2.4,82.3299
2.5,71.8603
2.6,75.4289
2.7,63.9672
2.8,77.0543
2.9,82.0796
3,71.699
3.1,71.5476
3.2,78.1691
3.3,72.758
3.4,74.0735
3.5,78.3952
3.6,68.0965
3.7,69.809
3.8,66.7658
3.9,72.8861
4,72.1704
4.1,76.7929
4.2,87.9706
4.3,80.0562
4.4,78.6863
4.5,73.2948
4.6,75.6547
4.7,72.1951
4.8,53.6813
4.9,67.6058
5,67.7289
5.1,83.7377
5.2,84.9127
5.3,67.7112
5.4,73.1371
5.5,77.3643
5.6,71.426
5.7,61.4321
5.8,62.0392
5.9,68.146
6,68.2958
6.1,66.3778
6.2,60.3965
6.3,60.9524
6.4,76.1735
6.5,77.0608
6.6,77.7362
6.7,84.3613
6.8,85.1728
6.9,88.4456
7,66.4573
7.1,75.6781
7.2,75.2914
7.3,74.6836
7.4,66.2153
7.5,68.9139
7.6,85.6247
7.7,78.5613
7.8,85.1078
7.9,83.6749
8,66.3911
8.1,65.1926
8.2,56.8549
8.3,63.9359
8.4,75.6112
8.5,78.6197
8.6,79.0952
8.7,76.4282
8.8,80.9798
8.9,81.9341
9,89.3515
9.1,82.1579
9.2,78.5049
9.3,81.5319
9.4,83.5706
9.5,86.6764
9.6,85.1877
9.7,67.1193
9.8,60.0456
9.9,71.5656
10,78.8734
10.1,77.9363
10.2,87.8973
10.3,74.133
10.4,68.4048
10.5,73.2714
10.6,63.3977
10.7,59.3432
10.8,62.2415
10.9,65.1514
11,67.5879
11.1,79.8566
11.2,82.5126
11.3,77.141
11.4,80.4143
11.5,74.6125
11.6,75.5268
11.7,73.2534
11.8,83.6814
11.9,75.9674
12,78.0472
12.1,73.1405
12.2,72.5877
12.3,88.7582
12.4,80.1647
12.5,78.2995
12.6,67.776
12.7,73.8748
12.8,74.3231
12.9,73.7754
13,72.1974
13.1,72.7807
13.2,78.2482
13.3,74.2468
13.4,69.1067
13.5,59.3935
13.6,62.3542
13.7,64.6264
13.8,63.3863
13.9,58.1229
14,77.2642
14.1,67.3844
14.2,77.7641
14.3,78.9162
14.4,71.2295
14.5,69.5735
14.6,69.8538
14.7,67.3491
14.8,66.4049
14.9,66.2321
15,74.4332
15.1,74.1533
15.2,68.1366
15.3,66.0221
15.4,57.0336
15.5,57.7573
15.6,57.5162
15.7,56.167
15.8,59.9956
15.9,74.6377
16,76.2731
16.1,72.2398
16.2,61.8303
16.3,52.5563
16.4,60.2426
16.5,93.4404
16.6,87.9631
16.7,71.848
16.8,73.4138
16.9,85.4701
17,76.0775
17.1,92.2574
17.2,78.045
17.3,70.2009
17.4,84.3279
17.5,74.9393
17.6,69.7429
17.7,77.0819
17.8,80.6633
17.9,74.4343
18,72.0502
18.1,55.3041
18.2,55.9171
18.3,56.6625
18.4,53.483
18.5,54.5826
18.6,63.0874
18.7,63.1633
18.8,70.8056
18.9,80.2199
19,74.2989
19.1,65.1675
19.2,66.5061
19.3,73.735
19.4,74.0176
19.5,69.4187
19.6,65.4393
19.7,69.9423
19.8,56.8238
19.9,52.7723
20,76.0009
20.1,74.1085
20.2,73.4634
20.3,79.3666
20.4,72.6426
20.5,72.4558
20.6,61.5697
20.7,67.7815
20.8,65.2773
20.9,58.5554
21,73.7761
21.1,78.1809
21.2,69.0561
21.3,68.0134
21.4,64.8199
21.5,65.0741
21.6,61.9881
21.7,71.3102
21.8,76.9297
21.9,77.5132
22,79.2565
22.1,77.982
22.2,75.2714
22.3,70.9042
22.4,68.5179
22.5,73.4015
22.6,68.6485
22.7,73.1764
22.8,69.3584
22.9,63.6361
23,72.6144
23.1,75.8836
23.2,69.6624
23.3,62.448
23.4,62.1305
23.5,62.069
23.6,57.0355
23.7,68.9299
23.8,83.0443
23.9,87.0891
24,67.1618
24.1,73.34
24.2,70.3345
24.3,62.5263
24.4,67.412
24.5,70.0647
24.6,66.7951
24.7,61.5908
24.8,61.183
24.9,70.0288
25,69.0295
25.1,58.9506
25.2,84.011
25.3,68.6071
25.4,72.3476
25.5,70.9472
25.6,71.1736
25.7,66.7439
25.8,61.5287
25.9,69.5676
26,65.7523
26.1,62.1905
26.2,72.7626
26.3,66.6814
26.4,62.6055
26.5,70.2381
26.6,60.4281
26.7,57.8171
26.8,59.8257
26.9,74.9534
27,79.7099
27.1,71.1256
27.2,67.5827
27.3,65.425
27.4,69.8966
27.5,70.2986
27.6,71.9255
27.7,71.0798
27.8,67.8736
27.9,64.6495
28,57.2355
28.1,66.3329
28.2,67.1676
28.3,65.7008
28.4,72.8669
28.5,64.6828
28.6,66.431
28.7,71.3359
28.8,66.5842
28.9,65.1741
29,67.353
29.1,62.2368
29.2,68.4357
29.3,72.4466
29.4,65.5632
29.5,83.102
29.6,76.1108
29.7,66.8148
29.8,68.5199
29.9,58.9567
30,65.3613
30.1,76.2925
30.2,79.52
30.3,79.5873
30.4,86.0864
30.5,77.6723
30.6,76.4189
30.7,73.3448
30.8,75.7926
30.9,74.8712
31,80.8208
31.1,80.4033
31.2,81.6553
31.3,85.5126
31.4,75.4073
31.5,77.0569
31.6,74.5882
31.7,68.5006
31.8,58.8463
31.9,67.3794
32,69.5038
32.1,86.7747
32.2,77.1053
32.3,66.2621
32.4,69.6957
32.5,70.8345
32.6,80.1542
32.7,61.6152
32.8,58.7161
32.9,59.1935
33,73.3502
33.1,74.6351
33.2,74.6868
33.3,77.7674
33.4,71.682
33.5,67.266
33.6,73.1691
33.7,71.4662
33.8,70.1243
33.9,70.1805
34,73.157
34.1,84.3073
34.2,76.1513
34.3,69.7817
34.4,69.0811
34.5,74.4676
34.6,82.0496
34.7,78.6429
34.8,74.0134
34.9,71.2893
35,80.0804
35.1,76.7927
35.2,76.1104
35.3,77.2689
35.4,76.7546
35.5,80.1471
35.6,75.8907
35.7,83.3552
35.8,80.184
35.9,79.124
36,77.8834
36.1,74.8963
36.2,91.6253
36.3,93.1859
36.4,80.2217
36.5,81.1442
36.6,78.5703
36.7,65.6319
36.8,66.3098
36.9,74.6573
37,85.7711
37.1,88.1382
37.2,76.9784
37.3,73.5908
37.4,64.9276
37.5,72.9106
37.6,71.0709
37.7,73.0447
37.8,70.2919
37.9,69.2937
38,68.1205
38.1,65.9839
38.2,64.8683
38.3,62.9362
38.4,69.9194
38.5,74.6501
38.6,81.5533
38.7,77.6839
38.8,82.8403
38.9,78.2753
39,77.6579
39.1,77.5293
39.2,76.9357
39.3,74.1158
