time (sec),level (dB(SPL))
0.1,77.9269
0.2,76.7399
0.3,76.9867
0.4,76.8916
0.5,76.9285
0.6,87.4505
0.7,83.2167
0.8,75.8629
0.9,75.5981
1,75.8569
1.1,76.8178
1.2,78.0878
1.3,78.6234
1.4,77.3657
1.5,76.4946
1.6,75.8821
1.7,76.4359
1.8,76.2906
1.9,76.0713
2,78.079
2.1,75.3702
2.2,75.3715
2.3,75.7759
2.4,75.7071
2.5,75.4434
2.6,75.1904
2.7,75.0934
2.8,77.4714
2.9,81.3534
3,78.1779
3.1,76.3221
3.2,77.0707
3.3,77.0572
3.4,81.3625
3.5,76.4468
3.6,76.7666
3.7,75.7095
3.8,75.8795
3.9,76.1657
4,77.4713
4.1,77.1874
4.2,75.8615
4.3,77.0925
4.4,76.7019
4.5,77.0826
4.6,75.2498
4.7,77.6651
4.8,75.6382
4.9,75.1444
5,76.4088
5.1,75.5225
5.2,79.5883
5.3,77.8164
5.4,79.1125
5.5,81.5684
5.6,76.713
5.7,76.1303
5.8,79.6919
5.9,76.0464
6,79.9086
6.1,79.5167
6.2,77.5515
6.3,75.6652
6.4,75.2607
6.5,76.1515
6.6,77.2188
6.7,82.8804
6.8,77.2248
6.9,75.9207
7,75.5757
7.1,75.3931
7.2,76.3762
7.3,76.1655
7.4,75.8877
7.5,75.8113
7.6,75.7995
7.7,80.574
7.8,81.5164
7.9,77.3005
8,75.0624
8.1,77.3624
8.2,79.455
8.3,76.9933
8.4,77.66
8.5,77.0447
8.6,77.4782
8.7,77.6543
8.8,77.5931
8.9,75.8137
9,76.0543
9.1,79.9389
9.2,77.4549
9.3,83.171
9.4,75.5971
9.5,75.7069
9.6,75.6755
9.7,75.631
9.8,75.8134
9.9,81.1948
10,83.2019
10.1,82.3403
10.2,79.163
10.3,75.8741
10.4,75.9197
10.5,77.7772
10.6,79.9516
10.7,76.766
10.8,76.375
10.9,75.8635
11,76.0032
11.1,76.6338
11.2,82.1138
11.3,78.1219
11.4,83.918
11.5,80.7385
11.6,77.9319
11.7,75.9854
11.8,75.3333
11.9,79.5918
12,77.3518
12.1,76.5668
