time (sec),level (dB(SPL))
0.1,76.1181
0.2,75.5295
0.3,75.7132
0.4,77.7173
0.5,65.3513
0.6,69.5127
0.7,63.3178
0.8,66.7673
0.9,65.3739
1,68.2464
1.1,64.1806
1.2,64.2905
1.3,67.4691
1.4,65.5522
1.5,63.4971
1.6,68.555
1.7,66.0286
1.8,68.8244
1.9,71.1944
2,72.4743
2.1,68.6763
2.2,71.633
2.3,68.0973
2.4,70.8484
2.5,67.2087
2.6,75.2932
2.7,66.5327
2.8,68.5517
2.9,71.112
3,59.3987
3.1,60.1253
3.2,69.4731
3.3,71.5453
3.4,60.7014
3.5,63.1808
3.6,55.4096
3.7,87.576
3.8,81.4375
3.9,74.5071
4,78.0237
4.1,59.9717
4.2,75.9015
4.3,73.9286
4.4,81.9394
4.5,76.9143
4.6,60.0019
4.7,53.3072
4.8,58.2722
4.9,57.978
5,77.923
5.1,81.2527
5.2,69.7491
5.3,77.1168
5.4,87.1838
5.5,81.9705
5.6,76.3126
5.7,72.1678
5.8,75.9224
5.9,78.0124
6,76.9615
6.1,61.1123
6.2,53.2195
6.3,55.464
6.4,58.4795
6.5,55.8368
6.6,81.2167
6.7,76.9217
6.8,77.5131
6.9,88.8734
7,81.8176
7.1,72.2299
7.2,70.5525
7.3,80.8885
7.4,82.1871
7.5,81.1102
7.6,74.7944
7.7,74.9157
7.8,74.6746
7.9,62.3608
8,54.8349
8.1,53.3443
8.2,54.5236
8.3,54.1284
8.4,67.3812
8.5,72.3721
8.6,79.9251
8.7,78.9068
8.8,75.908
8.9,75.119
9,77.8784
9.1,75.3017
9.2,65.5322
9.3,74.628
9.4,66.6602
9.5,69.9583
9.6,80.0359
9.7,75.6997
9.8,64.6665
9.9,64.7432
10,75.172
10.1,79.9241
10.2,63.9075
10.3,54.9732
10.4,58.3623
10.5,58.5505
10.6,53.2042
10.7,73.4668
10.8,75.8475
10.9,84.574
11,76.6544
11.1,69.4451
11.2,59.4703
11.3,72.8899
