time (sec),level (dB(SPL))
0.1,77.2855
0.2,77.6047
0.3,78.682
0.4,79.4171
0.5,79.1315
0.6,86.1387
0.7,86.2566
0.8,78.4832
0.9,79.3937
1,78.5809
1.1,77.4667
1.2,77.5519
1.3,79.0057
1.4,79.2292
1.5,77.8276
1.6,83.9887
1.7,77.5659
1.8,77.3854
1.9,77.3435
2,76.7279
2.1,76.7405
2.2,76.7288
2.3,76.8546
2.4,77.4336
2.5,76.7097
2.6,76.6493
2.7,77.4773
2.8,79.1574
2.9,76.6839
3,76.5265
3.1,76.5135
3.2,76.5335
3.3,76.7492
3.4,76.64
3.5,76.9929
3.6,79.1693
3.7,78.1744
3.8,76.7182
3.9,78.182
4,77.0917
4.1,76.5495
4.2,76.3303
4.3,80.1725
4.4,87.4585
4.5,79.9842
4.6,77.4574
4.7,76.4499
4.8,78.3137
4.9,77.4414
5,77.0233
5.1,80.3561
5.2,82.9358
5.3,78.9936
5.4,78.7878
5.5,86.2377
5.6,78.038
5.7,77.0303
5.8,76.5755
5.9,76.8131
6,77.444
6.1,77.9607
6.2,81.4889
6.3,77.1773
6.4,76.8745
6.5,77.3705
6.6,77.5478
6.7,77.2072
6.8,77.8877
6.9,79.4928
7,76.4183
7.1,76.6453
7.2,76.8622
7.3,76.9989
7.4,76.4664
7.5,76.3949
7.6,76.2647
7.7,80.7815
7.8,76.5641
7.9,77.562
8,76.9015
8.1,76.8111
8.2,76.7578
8.3,79.9581
8.4,77.3971
8.5,76.5383
8.6,76.9158
8.7,76.7002
8.8,78.1433
8.9,77.1668
9,76.6314
9.1,76.5548
9.2,76.6829
9.3,76.7158
9.4,76.9673
9.5,76.4721
9.6,76.5189
9.7,76.3772
9.8,77.1868
9.9,76.551
10,77.8726
10.1,77.8788
10.2,77.0445
10.3,77.3797
10.4,77.0351
10.5,77.1805
10.6,76.6157
10.7,77.2217
10.8,77.4455
10.9,76.5111
11,76.4772
11.1,77.0747
11.2,76.8945
11.3,76.8967
11.4,76.8729
11.5,77.2911
11.6,80.0689
11.7,76.4563
11.8,76.469
11.9,77.0348
12,78.2037
12.1,76.5281
12.2,76.9482
12.3,77.0196
12.4,76.9681
12.5,76.9802
12.6,76.5755
12.7,76.9748
12.8,76.631
12.9,76.4631
13,76.6117
13.1,76.3525
13.2,76.6221
13.3,76.901
13.4,76.3864
13.5,76.474
13.6,76.3774
13.7,77.0232
13.8,77.4717
13.9,79.8615
14,76.6525
14.1,76.3245
14.2,76.3122
14.3,76.2445
14.4,76.1868
14.5,78.2122
14.6,78.8701
14.7,80.485
14.8,78.6045
14.9,77.6823
15,78.5417
15.1,76.9213
15.2,83.0634
15.3,77.4928
15.4,76.9019
15.5,76.8738
15.6,76.3067
15.7,76.5803
15.8,76.6781
15.9,77.7791
16,76.7208
16.1,76.8601
16.2,80.2818
16.3,77.1035
16.4,77.048
16.5,76.9112
16.6,76.6964
16.7,77.4883
16.8,77.8688
16.9,76.6604
17,79.5219
17.1,83.9071
17.2,79.8598
17.3,78.0532
17.4,76.008
17.5,76.2124
17.6,75.9238
17.7,75.9098
17.8,75.9036
17.9,76.0393
18,77.2173
18.1,81.1748
18.2,82.9924
18.3,79.3227
18.4,78.034
18.5,78.3213
18.6,77.8566
18.7,78.4722
18.8,78.0635
18.9,77.5693
19,77.224
19.1,77.7233
19.2,77.6751
19.3,76.5053
19.4,76.4545
19.5,76.4904
19.6,77.4896
19.7,77.1648
19.8,76.8118
19.9,77.2518
20,76.7043
20.1,76.8216
20.2,76.7157
20.3,76.536
20.4,76.5207
20.5,76.6024
20.6,76.5442
20.7,76.5469
20.8,76.6764
20.9,77.0571
21,87.1567
21.1,85.8814
21.2,80.8215
21.3,77.7469
21.4,76.9005
21.5,78.2607
21.6,82.914
21.7,78.728
21.8,76.5623
21.9,76.5749
22,76.6083
22.1,77.0004
22.2,78.8824
22.3,77.2769
22.4,76.8977
22.5,77.0755
22.6,77.0306
22.7,76.8253
22.8,78.0548
22.9,77.2178
23,77.2445
23.1,77.0183
23.2,77.0125
23.3,76.7835
23.4,80.204
23.5,79.0236
23.6,83.8326
23.7,88.9092
23.8,84.5195
23.9,76.3935
24,76.413
24.1,76.5857
24.2,76.6313
24.3,76.548
24.4,77.1249
24.5,77.7252
24.6,79.7032
24.7,77.1353
24.8,78.5148
24.9,78.3797
25,78.1832
25.1,77.4501
25.2,77.3622
25.3,77.122
25.4,76.7085
25.5,76.5094
25.6,79.4994
25.7,77.0537
25.8,76.6573
25.9,76.7596
26,79.9752
26.1,78.8655
26.2,78.327
26.3,77.3129
26.4,77.7059
26.5,77.4291
26.6,76.6314
26.7,79.1216
26.8,77.723
26.9,76.6288
27,76.5925
27.1,76.7483
27.2,76.8111
27.3,77.5644
27.4,80.5504
27.5,77.285
27.6,77.7047
27.7,76.956
27.8,77.5185
27.9,77.0723
28,77.015
28.1,77.8939
28.2,77.1978
28.3,77.8715
28.4,77.2719
28.5,76.9376
28.6,77.0331
28.7,76.9042
28.8,76.8716
28.9,76.8684
29,76.8874
29.1,76.834
29.2,76.7579
29.3,76.6692
29.4,77.1471
29.5,79.2978
29.6,79.1376
29.7,75.768
29.8,75.4053
29.9,76.1486
30,76.6457
30.1,75.3695
30.2,77.3127
30.3,76.0724
30.4,76.293
30.5,75.066
30.6,71.9962
30.7,73.3645
30.8,71.7805
30.9,71.0179
31,73.002
31.1,74.409
31.2,71.9462
31.3,71.9324
31.4,77.9943
31.5,80.5568
31.6,79.3037
31.7,79.0418
31.8,75.5874
31.9,74.7772
