time (sec),level (dB(SPL))
0.1,64.8911
0.2,79.5774
0.3,80.9174
0.4,81.6651
0.5,74.9248
0.6,78.967
0.7,66.5338
0.8,70.9626
0.9,74.7808
1,71.3015
1.1,63.1385
1.2,63.9059
1.3,63.7798
1.4,65.5026
1.5,60.2335
1.6,61.5602
1.7,70.472
1.8,74.6186
1.9,60.4511
2,74.3776
2.1,74.2163
2.2,72.8816
2.3,77.3914
2.4,70.6184
2.5,62.5207
2.6,63.3373
2.7,55.3853
2.8,56.6959
2.9,58.0231
3,57.8847
3.1,55.665
3.2,75.4104
3.3,79.8787
3.4,81.1427
3.5,66.641
3.6,73.3061
3.7,78.8828
3.8,78.2099
3.9,70.0685
4,78.2933
4.1,74.9099
4.2,69.7179
4.3,72.7027
4.4,62.2738
4.5,67.8174
4.6,68.0411
4.7,66.6328
4.8,77.2921
4.9,73.7289
5,88.3537
5.1,86.4935
5.2,56.1699
5.3,59.1277
5.4,58.6734
5.5,59.0221
5.6,55.2847
5.7,55.6309
5.8,61.6788
5.9,70.534
6,77.0547
6.1,66.4965
6.2,57.1919
6.3,57.8355
6.4,56.4717
6.5,53.112
6.6,53.3665
6.7,80.1574
6.8,81.6634
6.9,83.7519
7,76.4632
7.1,73.6548
7.2,86.3983
7.3,85.2754
7.4,59.4002
7.5,67.4469
7.6,84.838
7.7,87.0768
7.8,78.615
7.9,72.4845
8,71.7805
8.1,69.9367
8.2,69.8975
8.3,67.1966
8.4,69.5503
8.5,62.8488
8.6,64.7159
8.7,70.5563
8.8,67.012
8.9,74.455
9,80.6617
9.1,81.308
9.2,65.4043
9.3,64
9.4,65.2811
9.5,65.6564
9.6,62.5698
9.7,70.9645
9.8,54.7557
9.9,67.8369
10,71.8579
10.1,76.6125
10.2,73.462
10.3,79.6676
10.4,76.5418
10.5,73.6214
10.6,73.3938
10.7,70.7379
10.8,71.5552
10.9,64.8992
11,71.6666
11.1,54.9278
11.2,59.4346
11.3,61.5067
11.4,72.0793
11.5,78.4087
11.6,89.169
11.7,80.3935
11.8,74.4423
11.9,68.0642
12,63.3456
12.1,59.9535
12.2,71.8633
12.3,85.5518
12.4,73.6987
12.5,64.686
12.6,57.5214
12.7,76.3453
12.8,68.5957
12.9,57.2999
