time (sec),level (dB(SPL))
0.1,74.4379
0.2,74.3847
0.3,74.4641
0.4,74.3492
0.5,74.7049
0.6,74.973
0.7,74.5932
0.8,74.607
0.9,74.4702
1,77.2861
1.1,84.7264
1.2,86.9592
1.3,75.7407
1.4,79.9555
1.5,78.7336
1.6,87.008
1.7,80.4787
1.8,79.4033
1.9,75.1625
2,74.5544
2.1,74.5757
2.2,77.1364
2.3,74.4274
2.4,75.7353
2.5,75.8962
2.6,74.4824
2.7,74.3765
2.8,74.4055
2.9,77.2334
3,77.1384
3.1,75.4698
3.2,75.7657
3.3,75.04
3.4,75.4917
3.5,75.253
3.6,74.7027
3.7,78.1698
3.8,75.2885
3.9,75.0687
4,77.2918
4.1,79.2376
4.2,80.753
4.3,81.534
4.4,79.2295
4.5,81.07
4.6,78.1102
4.7,79.4482
4.8,79.4087
4.9,78.589
5,76.3228
5.1,76.7246
5.2,76.1388
5.3,76.0394
5.4,76.3639
5.5,82.7922
5.6,79.1367
5.7,75.9481
5.8,77.8803
5.9,79.6262
6,76.6686
6.1,76.8085
6.2,74.4137
6.3,74.9037
6.4,75.7272
6.5,74.3395
6.6,75.7278
6.7,74.4223
6.8,76.5271
6.9,81.415
7,81.0722
7.1,77.9718
7.2,79.7853
7.3,78.5592
7.4,75.5355
7.5,74.7793
7.6,74.8931
7.7,74.5488
7.8,75.8504
7.9,75.0306
8,74.5505
8.1,74.4914
8.2,74.5169
8.3,74.3487
8.4,74.8425
8.5,74.8633
8.6,74.8853
8.7,74.8237
8.8,74.4705
8.9,74.2456
9,74.4871
9.1,75.2044
9.2,74.7615
9.3,74.1623
9.4,79.2032
9.5,81.0428
9.6,77.2872
9.7,74.2201
9.8,74.6382
9.9,79.3588
10,78.7156
10.1,74.4844
10.2,74.9128
10.3,74.5126
10.4,81.6479
10.5,78.8477
10.6,74.4365
10.7,78.1448
10.8,78.637
10.9,83.4084
11,74.2992
11.1,74.658
11.2,78.2111
11.3,79.8141
11.4,75.9358
11.5,75.5357
11.6,75.2647
11.7,77.5804
11.8,77.4217
11.9,77.1913
12,75.3398
12.1,74.3282
12.2,76.1868
12.3,74.4635
12.4,75.06
12.5,75.0804
12.6,74.2238
12.7,74.2267
12.8,74.2318
12.9,74.3269
13,74.3438
13.1,74.2319
13.2,74.3001
13.3,75.0819
13.4,74.7982
13.5,75.7667
13.6,75.5005
13.7,77.2216
13.8,77.9572
13.9,74.7422
14,76.2018
14.1,78.7946
14.2,78.5718
14.3,77.0878
14.4,74.8591
14.5,74.3067
14.6,74.7456
14.7,74.4183
14.8,74.3849
14.9,74.5031
15,74.4643
15.1,74.826
15.2,76.8527
15.3,76.9157
15.4,77.0341
15.5,76.9733
15.6,76.9006
15.7,76.7438
15.8,78.5854
15.9,77.7283
16,78.1881
16.1,83.1373
16.2,79.6061
16.3,76.6412
16.4,76.6
16.5,76.5294
16.6,76.6755
16.7,80.3241
16.8,78.8858
16.9,82.018
17,80.3468
17.1,76.7855
17.2,76.6408
17.3,76.4481
17.4,76.2127
17.5,76.6346
17.6,76.6439
17.7,76.7803
17.8,78.0623
17.9,80.7396
18,80.395
18.1,80.3617
18.2,77.5768
18.3,76.7937
18.4,77.2247
18.5,77.1989
18.6,78.2522
18.7,78.7934
18.8,76.921
18.9,77.9146
19,77.904
19.1,77.492
19.2,76.6345
19.3,77.4304
19.4,76.2903
19.5,76.3905
19.6,76.3256
19.7,76.4351
19.8,76.2989
19.9,76.3641
20,76.5728
20.1,81.3951
20.2,77.6218
20.3,79.1513
20.4,78.4991
20.5,83.3005
20.6,77.5827
20.7,77.4351
20.8,78.3757
20.9,80.5189
21,80.7908
21.1,76.7503
21.2,76.5668
21.3,76.5519
21.4,78.4484
21.5,78.5892
21.6,76.728
21.7,76.8374
21.8,76.9186
21.9,77.1764
22,78.8752
22.1,77.5872
22.2,76.4183
22.3,76.4228
22.4,76.5862
22.5,81.0004
22.6,80.9829
22.7,77.5279
22.8,81.4259
22.9,77.2515
23,76.9202
23.1,80.657
23.2,79.8441
23.3,77.2275
23.4,76.8721
23.5,77.2512
23.6,77.2411
23.7,76.6706
23.8,76.9361
23.9,78.4436
24,77.3457
24.1,76.7207
24.2,76.4379
24.3,76.9742
24.4,76.7084
24.5,78.7803
24.6,79.4346
24.7,82.5953
24.8,77.6285
24.9,80.3649
25,76.3984
25.1,81.1006
25.2,82.5494
25.3,78.0419
25.4,78.2069
25.5,78.051
25.6,78.7138
25.7,76.6768
25.8,78.4199
25.9,78.3285
26,76.7501
26.1,85.4987
26.2,80.6317
26.3,79.4205
26.4,77.3294
26.5,78.2581
26.6,78.4804
26.7,76.6603
26.8,77.4209
26.9,78.3933
27,79.1817
27.1,77.5523
27.2,76.2585
27.3,77.3247
27.4,79.305
27.5,87.4081
27.6,77.7067
27.7,82.9041
27.8,81.3585
27.9,76.9847
28,91.4209
28.1,92.0213
28.2,88.3906
28.3,77.6772
28.4,76.8246
28.5,76.6286
28.6,77.585
28.7,82.1531
28.8,78.7088
28.9,77.3112
29,85.8082
29.1,85.6567
29.2,77.0491
29.3,76.4566
29.4,77.8233
29.5,77.9198
29.6,76.9495
29.7,82.2664
29.8,77.2502
29.9,78.3637
30,77.1468
30.1,76.4643
30.2,76.1117
30.3,75.7001
30.4,75.1079
30.5,82.652
30.6,80.1261
30.7,76.1014
30.8,75.7768
30.9,75.0764
31,74.6203
31.1,74.5521
31.2,74.5351
31.3,74.6522
31.4,77.2014
31.5,78.4027
31.6,80.2994
31.7,82.006
31.8,75.9179
31.9,74.5854
32,74.5046
32.1,74.5923
32.2,74.5255
32.3,74.6076
32.4,74.4807
32.5,74.5771
32.6,75.8263
32.7,78.4469
32.8,76.6323
32.9,75.4226
33,74.6542
33.1,75.1617
33.2,74.576
33.3,74.5715
33.4,74.6738
33.5,76.045
33.6,78.4859
33.7,75.9428
33.8,88.4569
33.9,77.1801
34,80.5918
34.1,74.8221
34.2,76.0563
34.3,84.485
34.4,76.2928
34.5,74.8091
34.6,76.9234
34.7,75.0622
34.8,75.1862
34.9,74.6624
35,76.1502
35.1,74.6185
35.2,75.9992
35.3,74.6549
35.4,74.8949
35.5,76.9556
35.6,75.5009
35.7,74.7533
35.8,74.7157
35.9,75.1099
36,75.1266
36.1,76.5371
36.2,83.3442
36.3,81.4407
36.4,74.7086
36.5,74.9958
36.6,75.2664
36.7,75.1264
36.8,74.9174
36.9,74.3519
37,77.2389
37.1,78.3792
37.2,74.4289
37.3,75.649
37.4,74.4707
37.5,74.2838
37.6,74.4326
37.7,74.3176
37.8,74.3532
37.9,74.3522
38,74.4168
38.1,75.0571
38.2,74.5161
38.3,74.3438
38.4,74.5481
38.5,74.8034
38.6,77.4686
38.7,78.1982
38.8,75.2299
38.9,75.2549
39,75.6735
39.1,75.1895
39.2,74.5278
39.3,74.3979
39.4,74.3602
39.5,74.2719
39.6,74.4161
39.7,74.3493
39.8,76.2646
39.9,77.8643
40,76.8719
40.1,75.8595
40.2,74.7828
40.3,75.0086
40.4,77.2527
40.5,75.6681
40.6,75.5874
40.7,75.321
40.8,75.9239
40.9,75.6492
41,78.9048
41.1,82.1151
41.2,76.947
41.3,78.0267
41.4,75.2985
41.5,78.07
41.6,76.0035
41.7,77.4047
41.8,75.0557
41.9,74.6982
42,76.5238
42.1,75.1286
42.2,75.3581
42.3,78.9268
42.4,76.1168
42.5,79.3808
42.6,75.8497
42.7,74.5003
42.8,75.3005
42.9,75.9941
43,76.8122
43.1,74.532
43.2,73.9331
43.3,73.8017
43.4,73.7185
43.5,75.1524
43.6,73.9567
43.7,74.4691
43.8,74.1122
43.9,74.9907
44,74.7126
44.1,75.5721
44.2,74.6868
44.3,74.3386
44.4,73.9525
44.5,74.2405
44.6,75.7449
44.7,74.7525
44.8,73.8573
44.9,75.0194
45,74.6709
45.1,74.2248
45.2,74.3807
45.3,74.3561
45.4,74.1527
45.5,74.6031
45.6,74.5954
45.7,74.4014
45.8,74.0612
45.9,74.522
46,74.3786
46.1,74.1521
46.2,75.743
46.3,75.4331
46.4,75.2165
46.5,73.9042
46.6,73.9186
46.7,73.8743
46.8,73.8338
46.9,73.8487
47,74.0589
47.1,74.41
47.2,74.2785
47.3,73.8122
47.4,74.6719
47.5,77.5842
47.6,77.7859
47.7,75.4883
47.8,76.2527
47.9,75.9698
48,75.3402
48.1,73.9355
48.2,73.9568
48.3,74.3539
48.4,74.4067
48.5,74.7407
48.6,75.0097
48.7,74.464
48.8,74.2948
48.9,74.7838
49,75.751
49.1,74.3152
49.2,74.3109
49.3,74.2888
49.4,74.2353
49.5,74.3193
49.6,74.3229
49.7,74.2754
49.8,74.3135
49.9,74.3905
50,74.3472
50.1,74.6503
50.2,79.3653
50.3,74.6102
50.4,74.4829
50.5,74.826
50.6,74.4065
50.7,74.392
50.8,74.7646
50.9,74.8848
51,75.1555
51.1,74.9059
51.2,74.7444
51.3,74.3594
51.4,74.7843
51.5,75.989
51.6,74.8295
51.7,74.4837
51.8,74.8098
51.9,74.5375
52,76.4177
52.1,75.0317
52.2,75.0144
52.3,74.43
52.4,74.3156
52.5,74.3015
52.6,74.6863
52.7,74.395
52.8,74.172
52.9,74.2096
53,74.2593
53.1,74.2709
53.2,74.2867
53.3,74.4973
53.4,74.3844
53.5,74.2435
53.6,74.2642
53.7,74.2783
53.8,74.2968
53.9,76.1574
54,76.7955
54.1,76.0545
54.2,74.3883
54.3,79.2594
54.4,76.8651
54.5,79.2339
54.6,79.0588
54.7,76.9056
54.8,76.8143
54.9,77.7138
55,75.8381
55.1,78.2597
55.2,76.0754
55.3,74.935
55.4,74.8904
55.5,75.3522
55.6,74.5866
55.7,74.5809
55.8,74.7306
55.9,75.0473
56,74.4498
56.1,74.9351
56.2,74.8322
56.3,75.662
56.4,76.9608
56.5,77.8117
56.6,77.7808
56.7,76.3283
56.8,80.2193
56.9,76.1983
57,84.736
57.1,75.0642
57.2,75.2242
57.3,75.4735
57.4,76.6011
57.5,74.7794
57.6,74.3968
57.7,74.3365
57.8,74.2474
57.9,74.3345
58,74.3708
58.1,74.2565
58.2,74.3337
58.3,74.3026
58.4,74.8978
58.5,74.6901
58.6,76.7399
58.7,75.7508
58.8,74.8702
58.9,75.1734
59,75.5043
