time (sec),level (dB(SPL))
0.1,79.1052
0.2,77.0725
0.3,76.3183
0.4,74.703
0.5,74.133
0.6,75.3374
0.7,82.1771
0.8,81.7632
0.9,75.3598
1,74.9166
1.1,74.2675
1.2,73.8515
1.3,76.241
1.4,77.8495
1.5,76.7522
1.6,76.4111
1.7,75.9251
1.8,75.5347
1.9,76.9412
2,75.7279
2.1,74.7737
2.2,74.0899
2.3,73.7284
2.4,73.8157
2.5,73.7962
2.6,73.7964
2.7,73.8265
2.8,73.8623
2.9,73.8619
3,73.9711
3.1,73.7966
3.2,73.8526
3.3,73.8499
3.4,73.8101
3.5,73.9888
3.6,73.8714
3.7,77.3577
3.8,78.8998
3.9,76.1283
4,78.6024
4.1,79.7599
4.2,77.4377
4.3,75.3992
4.4,74.3488
4.5,78.563
4.6,78.1907
4.7,75.6086
4.8,74.5775
4.9,74.3374
5,74.9839
5.1,74.7563
5.2,75.1638
5.3,76.4134
5.4,77.3813
5.5,77.4689
5.6,77.3507
5.7,75.2466
5.8,78.2443
5.9,78.1632
6,75.5786
6.1,80.1763
6.2,80.8311
6.3,77.5197
6.4,74.2822
6.5,74.4574
6.6,74.5116
6.7,74.3624
6.8,74.1124
6.9,74.741
7,74.7809
7.1,74.2244
7.2,74.5724
7.3,74.337
7.4,73.933
7.5,73.9625
7.6,74.1227
7.7,73.9514
7.8,74.0077
7.9,74.943
8,76.7724
8.1,79.1737
8.2,75.02
8.3,75.9896
8.4,74.9297
8.5,78.8754
8.6,79.1646
8.7,75.1036
8.8,75.0268
8.9,75.023
9,76.2928
9.1,76.9489
9.2,77.154
9.3,79.2341
9.4,84.7682
9.5,89.7705
9.6,76.2883
9.7,75.6065
9.8,78.1581
9.9,78.1436
10,76.6704
10.1,77.6691
10.2,77.9692
10.3,76.7137
10.4,74.7519
10.5,75.2944
10.6,74.0763
10.7,73.9783
10.8,74.0494
10.9,74.0439
11,74.0146
11.1,74.0882
11.2,73.9852
11.3,73.9574
11.4,74.004
11.5,74.1114
11.6,74.2032
11.7,74.0402
11.8,74.0047
11.9,75.7755
12,75.7263
12.1,74.9319
12.2,74.3445
12.3,74.0302
12.4,73.9735
12.5,73.9922
12.6,75.1414
12.7,73.9799
12.8,75.9049
12.9,75.5724
13,78.7524
13.1,83.1385
13.2,75.2145
13.3,74.2534
13.4,74.0176
13.5,74.4088
13.6,74.9607
13.7,74.7939
13.8,74.5578
13.9,74.5021
14,74.6121
14.1,74.6235
14.2,74.2993
14.3,74.035
14.4,73.9869
14.5,74.0466
14.6,74.0263
14.7,73.9692
14.8,73.9916
14.9,74.4287
15,74.3092
15.1,74.1931
15.2,74.0643
15.3,73.8329
15.4,73.9361
15.5,74.2998
15.6,74.8817
15.7,75.4325
15.8,77.5573
15.9,74.3853
16,74.6844
16.1,75.1425
16.2,74.856
16.3,74.5097
16.4,74.6773
16.5,75.7245
16.6,74.0383
16.7,75.1804
16.8,74.8075
16.9,74.8707
17,74.4332
17.1,74.0663
17.2,73.9237
17.3,73.9624
17.4,73.941
17.5,74.6134
17.6,75.1666
17.7,74.6804
17.8,75.6948
17.9,75.6798
18,74.2943
18.1,74.0501
18.2,73.9326
18.3,73.9928
18.4,74.5335
18.5,74.5716
18.6,74.4601
18.7,73.987
18.8,76.0025
18.9,77.5801
19,76.2186
19.1,74.8284
19.2,74.1537
19.3,74.0582
19.4,74.0719
19.5,74.0606
19.6,78.4747
19.7,84.3697
19.8,85.7049
19.9,84.5894
20,82.1729
20.1,74.4488
20.2,74.4019
20.3,74.1673
20.4,74.1719
20.5,74.0309
20.6,73.8899
20.7,75.27
20.8,74.8035
20.9,74.3931
21,74.4987
21.1,74.1971
21.2,74.1672
21.3,73.9183
21.4,73.9472
21.5,73.8835
21.6,73.9316
21.7,73.8536
21.8,73.8926
21.9,73.8878
22,73.9279
22.1,73.9937
22.2,74.6492
22.3,74.8049
22.4,85.4273
22.5,84.7983
22.6,78.3448
22.7,74.3873
22.8,75.1318
22.9,74.2869
23,75.4704
23.1,77.0154
23.2,75.4855
23.3,74.8304
23.4,82.2712
23.5,79.8212
23.6,75.0609
23.7,75.362
23.8,74.6266
23.9,74.3058
24,74.1403
24.1,74.5797
24.2,74.7041
24.3,74.3564
24.4,74.2723
24.5,74.406
24.6,74.095
24.7,74.0271
24.8,73.9372
24.9,73.9482
25,73.9648
25.1,73.9932
25.2,74.2579
25.3,75.272
25.4,74.931
25.5,74.9961
25.6,75.3532
25.7,74.4537
25.8,74.6241
25.9,74.417
26,74.5609
26.1,74.3824
26.2,74.1251
26.3,74.1709
26.4,74.2378
26.5,74.2662
26.6,74.2295
26.7,74.7261
26.8,74.4332
26.9,75.0001
27,75.2464
27.1,76.1768
27.2,75.8867
27.3,75.5785
27.4,76.1084
27.5,76.7937
27.6,77.2171
27.7,80.8082
27.8,81.2084
27.9,76.308
28,79.8667
28.1,79.6865
28.2,82.9144
28.3,78.3191
28.4,75.4684
28.5,77.1179
28.6,78.7484
28.7,79.7569
28.8,79.1338
28.9,76.5991
29,77.8873
29.1,76.4919
29.2,77.7856
29.3,82.4862
29.4,84.9939
29.5,74.4534
29.6,80.1758
29.7,81.4436
29.8,77.2927
29.9,75.6912
30,74.9119
30.1,79.049
30.2,75.4157
30.3,78.0952
30.4,76.5222
30.5,77.038
30.6,75.5829
30.7,79.8922
30.8,75.9713
30.9,74.8173
31,77.1815
31.1,75.8939
31.2,74.9149
31.3,74.9869
31.4,74.8139
31.5,78.6403
31.6,76.3334
31.7,77.61
31.8,75.2483
31.9,77.1088
32,80.1272
32.1,81.7177
32.2,76.1744
32.3,74.6243
32.4,74.5649
32.5,74.5753
32.6,74.4886
32.7,74.5772
32.8,74.8923
32.9,76.6444
33,81.1625
33.1,75.4547
33.2,74.4094
33.3,74.6357
33.4,74.7465
33.5,75.3932
33.6,75.2585
33.7,74.293
33.8,81.7522
33.9,83.1775
34,82.7815
34.1,77.237
34.2,75.2262
34.3,74.6486
34.4,75.316
34.5,75.6353
34.6,74.7306
34.7,74.2274
34.8,74.3277
34.9,74.3331
35,79.7379
35.1,78.0076
35.2,80.2906
35.3,92.3771
35.4,83.6884
35.5,76.245
