time (sec),level (dB(SPL))
0.1,74.692
0.2,67.8645
0.3,83.6888
0.4,89.0804
0.5,83.4766
0.6,70.1547
0.7,67.2335
0.8,70.2422
0.9,78.4302
1,69.8756
1.1,68.4611
1.2,64.399
1.3,54.4555
1.4,60.6836
1.5,58.7361
1.6,54.1241
1.7,63.6848
1.8,85.3176
1.9,73.2231
2,67.6388
2.1,72.0052
2.2,66.4781
2.3,81.3014
2.4,89.9252
2.5,87.117
2.6,74.7604
2.7,77.1815
2.8,68.143
2.9,60.327
3,65.2561
3.1,61.8274
3.2,56.7836
3.3,56.7783
3.4,57.1855
3.5,63.8284
3.6,79.372
3.7,79.9147
3.8,72.2143
3.9,72.9482
4,72.0055
4.1,69.2504
4.2,70.8253
4.3,77.778
4.4,65.0719
4.5,63.5114
4.6,58.41
4.7,59.4877
4.8,60.1289
4.9,58.2608
5,69.5085
5.1,69.8349
5.2,68.9322
5.3,78.7777
5.4,76.3714
5.5,81.4802
5.6,70.178
5.7,59.8579
5.8,61.0035
5.9,62.586
6,71.2969
6.1,74.1047
6.2,71.108
6.3,84.7917
6.4,87.3574
6.5,78.844
6.6,65.7709
6.7,60.776
6.8,71.1504
6.9,79.9523
7,76.1484
7.1,72.6354
7.2,74.3243
7.3,76.1683
7.4,63.4767
7.5,76.9048
7.6,72.7964
7.7,61.0829
7.8,71.8639
7.9,75.9072
8,70.0572
8.1,82.2799
8.2,86.587
8.3,71.5512
8.4,62.7806
8.5,58.0065
8.6,62.0193
8.7,59.9968
8.8,58.0678
8.9,70.8007
9,77.368
9.1,78.1213
9.2,73.3272
9.3,71.6538
9.4,65.8204
9.5,85.4253
9.6,77.072
9.7,84.5508
9.8,82.2857
9.9,78.2713
10,70.5656
10.1,59.1689
10.2,74.8379
10.3,71.956
10.4,72.3593
10.5,79.4903
10.6,68.1651
10.7,71.0091
10.8,66.9932
10.9,68.8445
11,68.6207
11.1,71.6732
11.2,66.8041
11.3,67.8815
11.4,72.0641
11.5,63.8525
11.6,73.4731
11.7,67.1645
11.8,66.4702
11.9,65.6524
12,70.5604
12.1,70.3071
12.2,65.241
12.3,62.2616
12.4,68.942
12.5,74.1978
12.6,73.4058
12.7,76.7153
12.8,62.4671
12.9,64.6986
13,58.5521
13.1,59.9744
13.2,64.0898
13.3,66.271
13.4,71.6933
13.5,75.7602
13.6,74.089
13.7,70.1297
13.8,71.0878
13.9,71.6698
14,72.058
14.1,73.0358
14.2,66.9266
14.3,73.8148
14.4,73.7534
14.5,77.4983
14.6,64.6519
14.7,71.6142
14.8,65.6109
14.9,72.1619
15,76.6611
15.1,68.0554
15.2,71.788
15.3,71.0859
15.4,70.6189
15.5,70.2781
15.6,71.6386
15.7,74.2116
15.8,75.0032
15.9,72.9354
16,60.0535
16.1,72.3502
16.2,71.8572
16.3,70.6157
16.4,77.5236
16.5,64.3254
16.6,66.2978
16.7,58.7378
16.8,55.4862
16.9,60.7653
17,60.1699
17.1,58.7931
17.2,69.0422
17.3,86.9145
17.4,78.6651
17.5,82.0202
17.6,74.3037
17.7,70.3979
17.8,64.3286
17.9,58.2404
18,66.2366
18.1,64.3572
18.2,61.985
18.3,62.2867
18.4,79.0343
18.5,72.0646
18.6,67.7071
18.7,73.3375
18.8,83.0707
18.9,73.8368
19,70.9369
19.1,73.8398
19.2,73.3271
19.3,63.9469
19.4,68.9796
19.5,80.9957
19.6,75.5803
19.7,74.5598
19.8,72.1372
19.9,76.3964
20,77.7839
20.1,63.8784
20.2,68.7408
20.3,75.8345
20.4,79.1404
20.5,75.5582
20.6,67.2245
20.7,69.4486
20.8,72.5188
20.9,81.8617
21,77.3961
21.1,62.358
21.2,59.6572
21.3,55.1898
21.4,57.1236
21.5,53.4725
21.6,65.9113
21.7,80.4756
21.8,80.5032
21.9,73.3445
22,73.568
22.1,67.3605
22.2,72.8285
22.3,74.18
22.4,73.2185
22.5,72.748
22.6,73.1835
22.7,80.063
22.8,75.1757
22.9,70.6669
23,70.2603
23.1,72.076
23.2,67.1706
23.3,66.213
23.4,77.0973
23.5,80.3287
23.6,80.465
23.7,74.3766
23.8,73.0493
23.9,86.7389
24,77.6881
24.1,65.9948
24.2,70.9471
24.3,78.6838
24.4,78.5204
24.5,75.6817
24.6,71.5833
24.7,69.4056
24.8,72.0612
24.9,69.9496
25,71.9308
25.1,79.1811
25.2,71.2958
25.3,67.1209
25.4,79.0765
25.5,70.3572
25.6,72.9574
25.7,71.7872
25.8,66.5225
25.9,64.1684
26,67.9247
26.1,68.9787
26.2,69.3405
26.3,75.3347
26.4,72.0917
26.5,84.9067
26.6,67.3672
26.7,65.7848
26.8,66.3575
26.9,67.2612
27,63.1898
27.1,64.5699
27.2,64.7406
27.3,62.7134
27.4,59.2944
27.5,65.6612
27.6,66.9204
27.7,61.4456
27.8,60.3374
27.9,68.0608
28,65.4025
28.1,69.8167
28.2,70.7531
28.3,75.9258
28.4,75.917
28.5,69.3058
28.6,66.7369
28.7,70.9762
28.8,77.003
28.9,70.8306
29,71.9713
29.1,76.2265
29.2,68.1635
29.3,68.1351
29.4,63.6385
29.5,65.1685
29.6,60.5449
29.7,61.8253
29.8,78.3187
29.9,74.483
30,79.273
30.1,78.0848
30.2,66.0685
30.3,65.8927
30.4,65.0913
30.5,62.7476
30.6,57.4712
30.7,61.2125
30.8,84.151
30.9,85.8265
31,74.0223
31.1,68.6878
31.2,66.7371
31.3,62.3027
31.4,71.8116
31.5,64.1742
31.6,68.3741
31.7,71.7422
31.8,66.4996
31.9,64.9255
32,65.1433
32.1,61.7474
32.2,61.3055
32.3,61.5391
32.4,62.9821
32.5,67.745
32.6,71.9078
32.7,88.2333
32.8,86.2315
32.9,69.0492
33,68.5641
33.1,70.1876
33.2,63.19
33.3,68.4582
33.4,70.4929
33.5,68.6649
33.6,68.0202
33.7,67.5855
33.8,68.1964
33.9,68.0785
34,70.5372
34.1,69.0572
34.2,65.926
34.3,62.5854
34.4,60.4828
34.5,67.2034
34.6,64.4921
34.7,66.438
34.8,68.0973
34.9,61.9373
35,61.2271
35.1,58.9499
35.2,69.3884
35.3,75.3529
35.4,75.4556
35.5,68.2136
35.6,70.097
35.7,69.7502
35.8,65.3711
35.9,65.9446
36,73.8135
36.1,79.2701
36.2,85.629
36.3,77.1323
36.4,58.0395
36.5,54.9108
36.6,61.7206
36.7,60.476
36.8,78.9317
36.9,79.495
37,64.1338
37.1,76.8493
37.2,68.4979
37.3,72.837
37.4,75.0882
37.5,82.0995
37.6,77.1657
37.7,79.6217
37.8,76.568
37.9,72.6652
38,72.4884
38.1,78.502
38.2,82.4067
38.3,71.0116
38.4,57.3275
38.5,66.5635
38.6,59.154
38.7,58.1886
38.8,78.6879
38.9,77.3675
39,74.0055
39.1,68.6868
39.2,71.9511
39.3,72.7427
39.4,72.8659
39.5,69.224
39.6,66.3338
39.7,65.2971
39.8,73.0948
39.9,70.5161
40,68.5879
40.1,64.0385
40.2,57.9577
40.3,64.4829
40.4,71.7398
40.5,72.8187
40.6,66.6115
40.7,66.8259
40.8,80.7182
40.9,74.7296
41,59.6674
41.1,55.7954
41.2,58.0096
41.3,57.7802
41.4,58.95
41.5,57.69
41.6,56.2208
41.7,58.5057
41.8,72.5583
41.9,71.5199
42,79.5755
42.1,71.9404
42.2,83.1532
42.3,83.6545
42.4,71.6629
42.5,74.6389
42.6,72.0664
42.7,68.6355
42.8,62.0455
42.9,59.9095
43,60.7223
43.1,67.827
43.2,57.4866
43.3,57.0576
43.4,52.1575
43.5,56.4314
43.6,55.2225
43.7,56.9361
43.8,66.6488
43.9,76.7177
44,73.6882
44.1,76.4981
44.2,75.9252
44.3,72.3751
44.4,73.6945
44.5,73.1486
44.6,77.5829
44.7,59.6119
44.8,66.5819
44.9,62.2156
45,55.4068
45.1,51.1544
45.2,55.859
45.3,70.0506
45.4,74.4974
45.5,82.7125
45.6,74.7522
45.7,56.0357
45.8,70.4375
45.9,72.6126
46,75.0082
46.1,68.5655
46.2,73.4325
46.3,76.3138
46.4,75.7401
46.5,80.0571
46.6,69.3593
46.7,72.6756
46.8,77.2751
46.9,72.1446
47,66.7156
47.1,76.9303
47.2,71.5211
47.3,70.0173
47.4,80.3975
47.5,77.2503
47.6,74.59
47.7,69.8113
47.8,75.7768
47.9,76.8754
48,74.5204
48.1,73.6344
48.2,74.3558
48.3,72.2927
48.4,63.9805
48.5,55.7269
48.6,60.3753
48.7,61.9724
48.8,59.1288
48.9,68.2253
49,78.103
49.1,58.5334
49.2,65.6527
49.3,67.9025
49.4,72.6834
49.5,67.5919
49.6,67.5953
49.7,63.1956
49.8,67.3037
49.9,71.7118
50,65.007
50.1,69.9009
50.2,71.6385
50.3,81.0925
50.4,75.3922
50.5,71.816
50.6,68.7285
50.7,71.5225
50.8,76.927
50.9,89.7114
51,69.8614
51.1,74.8128
51.2,79.6645
51.3,71.3946
51.4,79.8622
51.5,77.9869
51.6,57.14
51.7,57.6405
51.8,69.8995
51.9,68.9369
52,70.3459
52.1,62.9858
52.2,60.8466
52.3,61.8928
52.4,73.1541
52.5,75.3243
52.6,80.2584
52.7,86.8679
52.8,87.1999
52.9,72.4953
53,72.6506
53.1,76.5269
53.2,69.5129
53.3,74.3023
53.4,73.7119
53.5,71.5985
53.6,74.2781
53.7,75.606
53.8,74.9303
53.9,70.8587
54,71.0789
54.1,72.01
54.2,69.92
54.3,73.3648
54.4,81.4944
54.5,76.6334
54.6,72.0229
54.7,68.4711
54.8,71.5432
54.9,76.3163
55,71.0232
55.1,67.5079
55.2,72.7354
55.3,67.6933
55.4,72.5425
55.5,75.6097
55.6,66.8029
55.7,75.2784
55.8,78.9121
55.9,60.4989
56,61.9362
56.1,77.2877
56.2,79.1761
56.3,79.0945
56.4,70.6702
56.5,71.6179
56.6,66.0087
56.7,67.302
56.8,68.4226
56.9,60.1072
57,58.6896
57.1,58.1353
57.2,64.3329
57.3,59.7217
57.4,54.7886
57.5,69.4392
57.6,73.3734
57.7,74.8694
57.8,66.3276
57.9,73.2024
58,73.5992
58.1,75.8948
58.2,70.7415
58.3,69.9326
58.4,69.2634
58.5,63.6188
58.6,66.4103
58.7,75.1889
58.8,68.9095
58.9,77.8724
59,69.1543
59.1,74.448
59.2,67.2009
59.3,68.9842
59.4,60.4415
59.5,66.9892
59.6,64.0817
59.7,62.9927
59.8,76.3017
59.9,67.8271
60,70.7345
60.1,74.6837
60.2,74.7197
60.3,82.615
60.4,63.865
60.5,62.3424
60.6,61.9498
60.7,66.8943
60.8,62.5204
60.9,70.5614
61,60.1561
61.1,62.3898
61.2,59.2392
61.3,60.1319
61.4,60.2071
61.5,68.616
61.6,68.2316
61.7,72.8438
61.8,71.604
61.9,79.9946
62,69.0586
62.1,73.6514
62.2,68.5639
62.3,77.8598
62.4,73.1647
62.5,74.3117
62.6,77.2002
62.7,69.398
62.8,65.436
62.9,73.7901
63,79.8135
63.1,80.3931
63.2,66.3318
63.3,79.2853
63.4,76.4567
63.5,70.1398
63.6,73.6403
63.7,77.1051
63.8,83.729
63.9,65.546
64,68.5269
64.1,81.0837
64.2,85.3818
64.3,67.3688
64.4,74.8977
64.5,67.2927
64.6,63.3447
64.7,67.2908
64.8,70.9915
64.9,68.5574
65,68.6614
65.1,74.0641
65.2,83.9221
65.3,62.7743
65.4,66.5571
65.5,63.5272
65.6,68.3873
65.7,71.0956
65.8,68.7218
65.9,65.0055
66,64.7069
66.1,67.8025
66.2,71.2038
66.3,67.6052
66.4,68.6445
66.5,70.0439
66.6,56.2721
66.7,58.9878
66.8,56.471
66.9,57.8463
67,67.7389
67.1,83.4516
67.2,83.7752
67.3,75.4871
67.4,72.1759
67.5,71.5196
67.6,71.0438
67.7,72.0174
67.8,69.645
67.9,64.872
68,53.5992
68.1,55.5997
68.2,62.0526
68.3,59.3764
68.4,59.2896
68.5,78.4761
68.6,68.7606
68.7,71.1848
68.8,70.8224
68.9,69.9412
69,71.8456
69.1,67.1431
69.2,55.6324
69.3,53.9072
69.4,55.1905
69.5,66.1299
69.6,84.4688
69.7,61.1897
69.8,64.3554
69.9,67.237
70,71.3658
70.1,83.3008
70.2,67.4169
70.3,68.39
70.4,68.4019
70.5,67.0791
70.6,63.2889
70.7,76.9066
70.8,81.4453
70.9,66.7115
71,63.0644
71.1,62.0919
71.2,80.1467
71.3,79.528
