time (sec),level (dB(SPL))
0.1,77.9455
0.2,77.9249
0.3,77.4917
0.4,77.3944
0.5,77.4028
0.6,80.4842
0.7,79.0006
0.8,78.2266
0.9,77.7593
1,77.8547
1.1,78.2095
1.2,78.1477
1.3,78.307
1.4,78.0951
1.5,78.0884
1.6,78.0365
1.7,80.3177
1.8,79.3528
1.9,80.269
2,78.1348
2.1,77.8101
2.2,77.6246
2.3,79.6845
2.4,78.3473
2.5,77.2522
2.6,77.2827
2.7,77.2509
2.8,77.2919
2.9,76.8373
3,79.2896
3.1,80.5635
3.2,77.5907
3.3,78.8414
3.4,78.7668
3.5,76.9286
3.6,76.3955
3.7,79.9514
3.8,77.9465
3.9,76.7795
4,77.7282
4.1,85.9091
4.2,80.9617
4.3,77.2173
4.4,78.3656
4.5,76.8136
4.6,78.049
4.7,77.2735
4.8,77.217
4.9,79.2668
5,79.617
5.1,77.0017
5.2,76.514
5.3,75.3068
5.4,75.3512
5.5,74.358
5.6,74.2445
5.7,74.3242
5.8,73.9816
5.9,73.9005
6,73.7951
6.1,73.8908
6.2,75.1932
6.3,76.668
6.4,77.0481
6.5,75.7246
6.6,74.3971
6.7,74.295
6.8,76.5217
6.9,75.5795
7,73.8213
7.1,73.8284
7.2,73.9334
7.3,73.9224
7.4,75.7932
7.5,79.872
7.6,79.6923
7.7,75.7843
7.8,80.2014
7.9,76.6067
8,77.7615
8.1,75.0418
8.2,75.168
8.3,75.1234
8.4,76.7496
8.5,76.6357
8.6,76.3835
8.7,78.2132
8.8,74.0329
8.9,74.7756
9,76.133
9.1,75.4915
9.2,75.4127
9.3,75.7802
9.4,75.575
9.5,76.1793
9.6,76.0136
9.7,74.6117
9.8,76.1343
9.9,76.3525
10,76.21
10.1,75.8395
10.2,75.6592
10.3,77.7046
10.4,74.5928
10.5,76.5662
10.6,74.7731
10.7,74.37
10.8,74.0969
10.9,73.9251
11,74.108
11.1,74.0176
11.2,74.5117
11.3,75.9292
11.4,75.1142
11.5,74.4623
11.6,74.1699
11.7,74.5351
11.8,81.2201
11.9,75.4321
12,84.8179
12.1,83.4883
12.2,76.6703
12.3,76.3354
12.4,78.5712
12.5,76.237
12.6,79.3943
12.7,77.1197
12.8,77.145
12.9,81.6113
13,78.2932
13.1,77.4407
13.2,80.6204
13.3,81.8763
13.4,82.387
13.5,82.4962
13.6,82.5038
13.7,81.3444
13.8,80.7115
13.9,80.3573
14,78.9124
14.1,78.504
14.2,78.0936
14.3,79.6757
14.4,74.2407
14.5,74.2101
14.6,78.4833
14.7,77.6532
14.8,79.0773
