time (sec),level (dB(SPL))
0.1,53.2413
0.2,51.7854
0.3,53.1906
0.4,54.2996
0.5,69.965
0.6,76.5392
0.7,65.4291
0.8,64.5645
0.9,58.3196
1,71.1461
1.1,71.9237
1.2,62.2387
1.3,56.4647
1.4,76.4707
1.5,71.9024
1.6,62.7423
1.7,61.7503
1.8,55.6461
1.9,63.9431
2,70.8764
2.1,71.2493
2.2,67.2446
2.3,76.8191
2.4,72.3306
2.5,66.9921
2.6,71.7214
2.7,81.4533
2.8,71.733
2.9,66.2393
3,66.2997
3.1,62.1235
3.2,61.812
3.3,67.2941
3.4,59.5909
3.5,76.2972
3.6,75.8302
3.7,83.3145
3.8,75.8043
3.9,67.0863
4,61.7925
4.1,69.2143
4.2,65.1018
4.3,62.4431
4.4,65.5275
4.5,66.4773
4.6,63.6307
4.7,61.0603
4.8,61.347
4.9,57.716
5,59.2296
5.1,76.9583
5.2,84.9615
5.3,77.0237
5.4,76.828
5.5,79.2038
5.6,67.6709
5.7,67.2673
5.8,64.9271
5.9,64.7128
6,80.712
6.1,73.261
6.2,72.7138
6.3,80.542
6.4,74.7877
6.5,71.7474
6.6,64.7983
6.7,60.8412
6.8,65.9702
6.9,75.9052
7,69.6294
7.1,68.3069
7.2,63.4388
7.3,68.9579
7.4,77.0471
7.5,79.6922
7.6,75.5078
7.7,78.6325
7.8,71.9257
7.9,70.7319
8,62.6554
8.1,61.1602
8.2,70.9976
8.3,65.3876
8.4,63.2419
8.5,63.6324
8.6,59.1804
8.7,77.4492
8.8,81.4525
8.9,79.2057
9,72.8111
9.1,66.3867
9.2,71.0521
9.3,71.2121
9.4,72.9364
9.5,70.4729
9.6,71.3508
9.7,75.4151
9.8,71.9413
9.9,68.8943
10,61.5984
10.1,60.4079
10.2,56.643
10.3,56.1065
10.4,66.5118
10.5,69.1859
10.6,63.8364
10.7,62.0572
10.8,63.5497
10.9,65.8327
11,71.0772
11.1,70.9691
11.2,69.9877
11.3,67.7241
11.4,63.9759
11.5,69.2946
11.6,72.8573
11.7,74.2537
11.8,79.4226
11.9,77.4002
12,69.182
12.1,68.5003
12.2,80.4739
12.3,81.8887
12.4,87.2851
12.5,77.5248
12.6,72.9653
12.7,69.9906
12.8,63.5014
12.9,58.8068
13,73.0521
13.1,71.9284
13.2,65.186
13.3,61.8144
13.4,68.8767
13.5,72.5158
13.6,73.4653
13.7,75.0855
13.8,74.1892
13.9,73.9391
14,82.5102
14.1,79.2183
14.2,76.6379
14.3,75.5457
14.4,70.9161
14.5,81.6177
14.6,76.1087
14.7,67.7365
14.8,67.1094
14.9,65.6723
15,58.6546
15.1,66.8383
15.2,70.8945
15.3,74.3248
