time (sec),level (dB(SPL))
0.1,57.536
0.2,61.7548
0.3,64.3522
0.4,78.5131
0.5,74.7353
0.6,76.125
0.7,70.333
0.8,73.0194
0.9,65.8873
1,68.6901
1.1,65.746
1.2,73.9694
1.3,68.4356
1.4,84.515
1.5,85.3205
1.6,68.7096
1.7,83.8289
1.8,78.5524
1.9,73.7301
2,75.6988
2.1,70.9208
2.2,70.9056
2.3,68.9986
2.4,73.6493
2.5,67.7593
2.6,65.1217
2.7,63.3408
2.8,77.6499
2.9,81.9129
3,80.8188
3.1,71.2174
3.2,68.7843
3.3,80.2143
3.4,75.7988
3.5,75.4848
3.6,62.3591
3.7,61.6092
3.8,76.595
3.9,76.9872
4,86.4495
4.1,84.5329
4.2,71.2007
4.3,74.1245
4.4,72.089
4.5,75.6747
4.6,78.9601
4.7,57.053
4.8,54.7279
4.9,53.996
5,54.6318
5.1,52.7643
5.2,65.6117
5.3,76.162
5.4,76.4387
5.5,75.8615
5.6,71.2237
5.7,68.8951
5.8,63.7511
5.9,53.7396
6,54.6382
6.1,53.1473
6.2,58.4504
6.3,70.4796
6.4,70.8362
6.5,65.466
6.6,71.2318
6.7,82.1554
6.8,60.3663
6.9,63.7486
7,65.3562
7.1,64.4217
7.2,65.4337
7.3,70.0811
7.4,72.8174
7.5,85.1826
7.6,83.2169
7.7,69.783
7.8,76.8893
7.9,81.3481
8,75.9421
8.1,69.2696
8.2,72.09
8.3,75.578
8.4,71.8445
8.5,57.73
8.6,62.7301
8.7,72.5329
8.8,73.9747
8.9,70.2136
9,70.8203
9.1,69.3089
9.2,66.1872
9.3,62.917
9.4,66.4808
9.5,62.1592
9.6,63.5061
9.7,62.1507
9.8,63.1897
9.9,59.0963
10,56.8412
10.1,56.5368
10.2,55.6742
10.3,53.3079
10.4,55.4466
10.5,56.729
10.6,64.6887
10.7,79.0017
10.8,72.8599
10.9,69.7675
11,62.6284
11.1,63.1825
11.2,67.6911
11.3,66.6296
11.4,75.9316
11.5,65.5164
11.6,64.2284
11.7,59.772
11.8,59.9573
11.9,59.1126
12,57.5836
12.1,52.6165
12.2,54.9733
12.3,56.2692
12.4,57.3371
12.5,55.7231
12.6,66.7417
12.7,80.7805
12.8,71.6243
12.9,69.263
13,63.6151
13.1,71.0142
13.2,75.6617
13.3,60.5115
13.4,72.938
13.5,70.324
13.6,61.4438
13.7,69.4893
13.8,75.8135
13.9,68.775
14,74.1473
14.1,71.346
14.2,71.8255
14.3,72.2057
14.4,65.2357
14.5,76.0228
14.6,70.8306
14.7,66.646
14.8,68.1633
14.9,65.6716
15,70.6044
15.1,74.8797
15.2,74.0951
15.3,73.3756
15.4,74.1885
15.5,76.1195
15.6,72.3688
15.7,73.7359
15.8,67.5233
15.9,68.9358
16,57.3268
16.1,53.6235
16.2,52.8546
16.3,68.1831
16.4,74.5477
16.5,71.7924
16.6,66.4249
16.7,75.4837
16.8,72.3262
16.9,75.6756
17,71.6127
17.1,75.5604
17.2,74.8229
17.3,72.0986
17.4,71.9936
17.5,71.7323
17.6,71.3428
17.7,66.6302
17.8,69.9569
17.9,61.6459
18,52.4258
18.1,52.9456
18.2,53.3968
18.3,54.1737
18.4,56.413
18.5,70.4668
18.6,74.3927
18.7,72.7305
18.8,74.5092
18.9,70.0036
19,53.3655
19.1,53.3595
19.2,52.6372
19.3,59.9172
19.4,61.6299
19.5,66.9858
19.6,73.4015
19.7,74.9733
19.8,64.8776
19.9,66.867
20,58.761
20.1,61.7852
20.2,61.6482
20.3,53.4834
20.4,52.0638
20.5,53.6007
20.6,53.5024
20.7,52.59
20.8,53.3145
20.9,70.5399
21,75.8636
21.1,65.201
21.2,55.8702
21.3,51.3973
21.4,51.474
21.5,62.1264
21.6,62.6569
21.7,53.2058
21.8,53.4485
21.9,54.8193
22,75.0866
22.1,76.0409
22.2,72.7537
22.3,70.159
22.4,76.206
22.5,65.8343
22.6,55.7518
22.7,52.6939
22.8,52.6392
22.9,54.9891
23,54.6868
23.1,56.9889
23.2,69.3916
23.3,79.4864
23.4,71.3351
23.5,74.08
23.6,73.9617
23.7,67.115
23.8,67.6516
23.9,70.3828
24,70.023
24.1,76.219
24.2,71.7418
24.3,59.7425
24.4,52.1457
24.5,52.0338
24.6,53.0153
24.7,51.7688
24.8,53.967
24.9,55.0014
25,55.9483
25.1,53.888
25.2,51.9673
25.3,67.2999
25.4,78.3345
25.5,72.4398
25.6,86.6216
25.7,77.1257
25.8,88.4722
25.9,79.6569
26,77.4719
26.1,76.7795
26.2,75.8139
26.3,57.7184
26.4,60.3563
26.5,61.8493
26.6,79.8699
26.7,85.5652
26.8,77.3305
26.9,76.6009
27,66.7151
27.1,69.5063
27.2,72.132
27.3,69.6665
27.4,71.9554
27.5,70.1062
27.6,62.4538
27.7,70.0799
27.8,77.9742
27.9,74.2522
28,55.7191
28.1,53.0423
28.2,84.9369
28.3,74.0161
28.4,60.2491
28.5,71.4509
28.6,69.7185
28.7,70.5342
28.8,62.0126
28.9,68.123
29,75.5474
29.1,74.1067
29.2,66.3006
29.3,63.0197
29.4,64.8836
29.5,77.8498
29.6,73.9624
29.7,66.4234
29.8,67.8078
29.9,71.5624
30,73.4038
30.1,72.0365
30.2,68.7486
30.3,67.7719
30.4,61.027
30.5,72.7189
30.6,69.5951
30.7,61.3081
30.8,54.2056
30.9,54.4099
31,55.2324
31.1,54.719
31.2,53.0707
31.3,79.8695
31.4,73.1514
31.5,73.0247
31.6,76.2603
31.7,80.7482
31.8,68.7402
31.9,64.625
32,64.6394
32.1,61.2842
32.2,74.5261
32.3,76.299
32.4,81.4391
32.5,73.0179
32.6,89.6327
32.7,87.0047
32.8,69.3855
32.9,70.0128
33,76.0516
33.1,83.1082
33.2,81.0869
33.3,83.4649
33.4,81.1247
33.5,85.7299
33.6,86.1553
33.7,74.3201
33.8,76.4997
33.9,81.9315
34,75.3495
34.1,68.6144
34.2,76.5839
34.3,71.7618
34.4,70.0008
34.5,71.4434
34.6,69.2801
34.7,68.4505
34.8,76.8969
34.9,76.0872
35,71.1163
35.1,84.379
35.2,76.0562
35.3,72.9402
35.4,71.5113
35.5,73.0404
35.6,72.8549
35.7,67.487
35.8,59.9843
35.9,76.0488
36,75.961
36.1,71.552
