time (sec),level (dB(SPL))
0.1,66.6928
0.2,59.3541
0.3,54.7158
0.4,55.5783
0.5,53.499
0.6,54.4558
0.7,60.3013
0.8,64.8097
0.9,60.8294
1,60.852
1.1,65.2449
1.2,66.3823
1.3,60.2009
1.4,70.9468
1.5,55.3258
1.6,51.9465
1.7,54.9508
1.8,58.5979
1.9,59.4897
2,67.1421
2.1,66.7046
2.2,74.6693
2.3,60.7868
2.4,68.0523
2.5,64.3785
2.6,62.3357
2.7,66.4929
2.8,62.9082
2.9,55.6214
3,55.4858
3.1,71.6859
3.2,69.9625
3.3,73.1478
3.4,68.0129
3.5,67.4153
3.6,65.4231
3.7,65.6567
3.8,76.0492
3.9,75.3795
4,56.1319
4.1,55.285
4.2,54.776
4.3,84.198
4.4,75.2386
4.5,68.408
4.6,67.0403
4.7,60.7786
4.8,64.8663
4.9,57.8823
5,62.3008
5.1,60.9688
5.2,69.7604
5.3,64.3357
5.4,57.9578
5.5,54.2298
5.6,51.9697
5.7,52.9834
5.8,53.26
5.9,54.7074
6,53.514
6.1,57.2931
6.2,60.0488
6.3,62.0414
6.4,71.0186
6.5,63.7359
6.6,64.3639
6.7,61.135
6.8,64.2681
6.9,71.5589
7,73.1457
7.1,67.87
7.2,61.8737
7.3,65.7426
7.4,59.7868
7.5,69.4167
7.6,61.8114
7.7,63.6416
7.8,62.9594
7.9,59.1087
8,64.8803
8.1,64.7304
8.2,54.524
8.3,52.905
8.4,58.3746
8.5,64.2725
8.6,70.7078
8.7,66.745
8.8,60.5294
8.9,57.1565
9,60.1657
9.1,58.1609
9.2,56.7309
9.3,64.6955
9.4,72.0734
9.5,62.1861
9.6,63.5524
9.7,62.8558
9.8,60.9022
9.9,55.9838
10,61.2791
10.1,66.6233
10.2,63.7828
10.3,54.0624
10.4,55.0567
10.5,56.3317
10.6,58.6281
10.7,53.7034
10.8,58.2636
10.9,71.3961
11,78.501
11.1,76.4989
11.2,63.5358
11.3,73.6252
11.4,56.6121
11.5,71.3815
11.6,67.2514
11.7,57.0201
11.8,53.8518
11.9,55.5401
12,54.9487
12.1,52.3267
12.2,54.3885
12.3,55.2217
12.4,58.7647
12.5,54.0472
12.6,64.5043
12.7,71.7278
12.8,80.9425
12.9,78.807
13,75.7117
13.1,69.4166
13.2,61.8848
13.3,61.7537
13.4,70.3061
13.5,70.0371
13.6,78.3726
13.7,68.3512
13.8,70.209
13.9,68.3635
14,56.9893
14.1,57.9484
14.2,54.2415
14.3,52.4908
14.4,51.8544
14.5,52.0581
14.6,63.6374
14.7,51.5907
14.8,52.1045
14.9,60.4102
15,78.8623
15.1,75.0837
15.2,72.8387
15.3,67.8098
15.4,57.0541
15.5,52.4769
15.6,52.2859
15.7,51.8029
15.8,68.9881
15.9,69.1264
16,84.7658
16.1,78.6908
16.2,76.5673
16.3,80.3667
16.4,64.7496
16.5,77.2531
16.6,74.6989
16.7,59.8249
16.8,71.868
16.9,68.4019
17,64.221
17.1,60.4186
17.2,58.0602
17.3,58.0524
17.4,59.3175
17.5,70.7513
17.6,67.3241
17.7,63.1165
17.8,59.6661
17.9,57.6979
18,58.2011
18.1,57.4793
18.2,56.4394
18.3,65.9135
18.4,66.0761
18.5,63.1067
18.6,59.4137
18.7,56.545
18.8,55.1914
18.9,55.3701
19,58.2021
19.1,68.0202
19.2,65.395
19.3,60.789
19.4,61.3451
19.5,60.9841
19.6,60.0711
19.7,58.8235
19.8,66.2185
19.9,65.5043
20,62.1868
20.1,61.259
20.2,58.9501
20.3,57.8212
20.4,57.4127
20.5,58.1866
20.6,68.9189
20.7,69.2294
20.8,80.7941
20.9,76.8515
21,73.3513
21.1,79.1213
21.2,75.411
21.3,81.1235
21.4,73.577
21.5,65.6
21.6,72.8642
21.7,74.6168
21.8,73.1647
21.9,73.7226
22,71.8219
22.1,74.2418
22.2,75.3628
22.3,73.7983
22.4,74.5169
22.5,73.6418
22.6,67.1836
22.7,70.2518
22.8,75.3513
22.9,72.7541
23,70.3752
23.1,68.6274
23.2,67.3584
23.3,70.3198
23.4,67.7784
23.5,61.9338
23.6,71.9505
23.7,73.7468
23.8,71.5629
23.9,67.9884
24,63.9751
24.1,61.9245
24.2,60.9081
24.3,60.5049
24.4,68.7763
24.5,66.563
24.6,63.8472
24.7,61.7044
24.8,59.3998
24.9,58.1358
25,57.8934
25.1,70.8419
25.2,71.595
25.3,68.7514
25.4,66.4206
25.5,64.8805
25.6,64.456
25.7,74.666
25.8,77.3896
25.9,72.7439
26,69.9653
26.1,68.4308
26.2,70.4608
26.3,69.6632
26.4,67.0162
26.5,72.174
26.6,71.8971
26.7,71.2882
26.8,74.3478
26.9,73.6358
27,71.949
27.1,69.6679
27.2,73.4096
27.3,78.0829
27.4,78.9567
27.5,73.9066
27.6,71.5096
27.7,76.9016
27.8,74.2034
27.9,71.667
28,72.0925
28.1,73.9318
28.2,71.8253
28.3,78.1213
28.4,83.3234
28.5,83.2081
28.6,78.6533
28.7,73.5527
28.8,74.5459
28.9,72.6097
29,70.7823
29.1,72.3715
29.2,77.3036
29.3,75.785
29.4,75.6292
29.5,76.4187
29.6,76.9856
29.7,77.4769
29.8,67.8843
29.9,75.2977
30,74.426
30.1,73.5388
30.2,72.5923
30.3,74.6345
30.4,74.7091
30.5,71.3846
30.6,65.4399
30.7,70.4522
30.8,73.7823
30.9,75.462
31,73.9266
31.1,69.2692
31.2,65.8072
31.3,69.5079
31.4,53.5581
31.5,55.4618
31.6,69.2629
31.7,71.6119
31.8,64.6044
31.9,73.9167
32,68.95
32.1,64.8124
32.2,67.3708
32.3,59.8712
32.4,50.4585
32.5,72.5557
32.6,72.3669
32.7,70.3528
32.8,68.3501
32.9,66.6121
33,72.933
33.1,79.2811
33.2,78.8842
33.3,77.5848
33.4,80.8302
33.5,77.8928
33.6,71.1844
33.7,74.8627
33.8,75.1591
33.9,74.6345
34,76.6862
34.1,73.691
34.2,75.9057
34.3,78.4784
34.4,79.6634
34.5,82.106
34.6,80.8296
34.7,78.2033
34.8,73.8526
34.9,85.4751
35,76.5927
35.1,84.1185
35.2,79.2367
35.3,78.6604
35.4,83.2936
35.5,78.1206
35.6,80.6291
35.7,78.6007
35.8,73.21
35.9,83.017
36,72.2705
36.1,72.5678
36.2,81.8551
36.3,66.7168
36.4,72.3422
36.5,81.1028
36.6,71.8877
36.7,71.7641
36.8,81.7168
36.9,63.059
37,75.244
37.1,79.3715
37.2,78.8473
37.3,77.2087
37.4,74.6859
37.5,76.4298
37.6,78.0179
37.7,72.4632
37.8,75.6345
37.9,76.5766
38,72.1585
38.1,74.265
38.2,74.183
38.3,73.2745
38.4,76.7725
38.5,77.2502
38.6,74.8735
38.7,67.3012
38.8,72.9313
38.9,75.508
39,75.938
39.1,78.0676
39.2,70.8022
