time (sec),level (dB(SPL))
0.1,73.0958
0.2,83.9582
0.3,82.3952
0.4,68.3656
0.5,67.1335
0.6,67.9164
0.7,68.7479
0.8,66.3942
0.9,62.9821
1,57.4031
1.1,70.1291
1.2,65.722
1.3,53.3815
1.4,55.8497
1.5,54.4945
1.6,55.743
1.7,54.6247
1.8,56.9814
1.9,64.7673
2,71.2929
2.1,71.6928
2.2,69.0027
2.3,75.0138
2.4,62.9699
2.5,67.6886
2.6,64.9447
2.7,59.6885
2.8,57.4929
2.9,51.7286
3,51.9798
3.1,53.2447
3.2,53.3077
3.3,57.5741
3.4,67.6765
3.5,71.8065
3.6,74.0718
3.7,71.5167
3.8,65.6056
3.9,71.9616
4,69.158
4.1,68.1079
4.2,66.8431
4.3,68.1988
4.4,69.9006
4.5,71.6574
4.6,73.8507
4.7,68.9764
4.8,67.8536
4.9,62.9247
5,73.3529
5.1,69.654
5.2,64.2924
5.3,67.432
5.4,65.9645
5.5,67.4117
5.6,71.279
5.7,68.4847
5.8,67.5055
5.9,67.1338
6,66.6462
6.1,65.1317
6.2,67.9332
6.3,70.6325
6.4,68.7118
6.5,67.8049
6.6,65.915
6.7,63.6989
6.8,64.887
6.9,62.2183
7,63.6298
7.1,66.9762
7.2,70.0612
7.3,67.3405
7.4,60.3009
7.5,64.6772
7.6,60.2211
7.7,67.1185
7.8,63.6442
7.9,63.8437
8,67.3877
8.1,69.0116
8.2,68.535
8.3,67.8929
8.4,57.6251
8.5,55.0125
8.6,56.1163
8.7,56.4553
8.8,56.2889
8.9,53.0837
9,63.5221
9.1,67.8257
9.2,70.7219
9.3,66.6153
9.4,69.9368
9.5,64.3353
9.6,61.7155
9.7,62.6267
9.8,62.2478
9.9,63.7045
10,58.1181
10.1,58.5831
10.2,55.3739
10.3,78.4691
10.4,84.8095
10.5,72.8861
10.6,72.471
10.7,77.4253
10.8,74.1028
10.9,60.7457
11,64.5163
11.1,63.934
11.2,63.0371
11.3,59.9749
11.4,63.1316
11.5,76.2001
11.6,68.7581
11.7,61.1552
11.8,59.8686
11.9,75.2021
12,75.5193
12.1,69.1985
12.2,64.1764
12.3,61.7039
12.4,62.9362
12.5,67.347
12.6,71.4534
12.7,71.6802
12.8,73.0171
12.9,67.4474
13,66.2378
13.1,64.8078
13.2,63.8578
13.3,60.8144
13.4,61.3254
13.5,61.3077
13.6,60.6341
13.7,62.0363
13.8,63.0365
13.9,60.203
14,60.6096
14.1,61.2285
14.2,60.1468
14.3,57.354
14.4,58.4194
14.5,57.4121
14.6,55.8213
14.7,60.0287
14.8,62.188
14.9,60.6665
15,59.2839
15.1,61.9686
15.2,77.018
15.3,70.9809
15.4,64.0896
15.5,63.0862
15.6,62.8948
15.7,67.4842
15.8,67.7801
15.9,78.0905
16,76.4657
16.1,66.4214
16.2,62.6245
16.3,63.8837
16.4,65.62
16.5,65.6941
16.6,63.3579
16.7,64.8149
16.8,64.3981
16.9,64.2366
17,62.6783
17.1,64.624
17.2,63.1116
17.3,61.6988
17.4,60.3674
17.5,59.5789
17.6,60.3281
17.7,59.1958
17.8,64.0345
17.9,71.7204
18,68.5244
18.1,81.2744
18.2,77.6517
18.3,73.3563
18.4,71.4343
18.5,70.9403
18.6,69.876
18.7,77.4125
18.8,79.0675
18.9,78.9826
19,74.4679
19.1,71.7829
19.2,70.5687
19.3,68.1292
19.4,66.842
19.5,66.3564
19.6,64.317
19.7,64.6179
19.8,65.7603
19.9,65.1072
20,64.2383
20.1,77.1061
20.2,72.2849
20.3,70.5422
20.4,76.9558
20.5,76.9009
20.6,72.2888
20.7,68.243
20.8,80.81
20.9,75.0491
21,69.4228
21.1,68.5506
21.2,76.0266
21.3,70.8619
21.4,67.5067
21.5,65.4147
21.6,63.9102
21.7,65.3613
21.8,64.5968
21.9,66.0653
22,69.3634
22.1,64.2265
22.2,61.1135
22.3,61.9339
22.4,60.6525
22.5,58.9182
22.6,61.4815
22.7,56.1185
22.8,58.1691
22.9,70.3788
23,63.205
23.1,59.754
23.2,57.3835
23.3,72.2505
23.4,72.6438
23.5,68.4182
23.6,66.5063
23.7,68.1012
23.8,69.5889
23.9,66.7875
24,64.1974
24.1,67.0019
24.2,69.3597
24.3,66.6549
24.4,64.7053
24.5,65.8438
24.6,71.3619
24.7,65.675
24.8,68.187
24.9,74.4728
