time (sec),level (dB(SPL))
0.1,54.2827
0.2,57.9457
0.3,60.9713
0.4,56.4482
0.5,58.2355
0.6,53.3915
0.7,53.096
0.8,55.7676
0.9,51.8332
1,52.2982
1.1,53.6224
1.2,53.9724
1.3,67.9207
1.4,90.6491
1.5,98.4182
1.6,94.4692
1.7,90.7894
1.8,87.0019
1.9,79.6591
2,68.1949
2.1,74.4286
2.2,70.1078
2.3,76.4568
2.4,70.3004
2.5,62.9522
2.6,65.0473
2.7,64.7112
2.8,60.8703
2.9,70.0662
3,86.2873
3.1,79.4315
3.2,65.914
3.3,95.7152
3.4,94.8561
3.5,72.713
3.6,91.7594
3.7,84.4645
3.8,76.6903
3.9,76.6563
4,75.7997
4.1,61.4942
4.2,65.8248
4.3,77.1318
4.4,79.3482
4.5,95.3528
4.6,87.713
4.7,69.5237
4.8,85.0269
4.9,85.8712
5,71.425
5.1,80.6981
5.2,86.456
5.3,93.4659
5.4,82.601
5.5,71.5618
5.6,66.6954
5.7,75.6792
5.8,91.9706
5.9,91.4874
6,80.4853
6.1,83.0793
6.2,84.2837
6.3,62.9535
6.4,65.7239
6.5,73.0998
6.6,66.3457
6.7,69.0718
6.8,67.2811
6.9,59.9029
7,66.091
7.1,66.8326
7.2,65.7987
7.3,62.6597
7.4,69.867
7.5,70.5539
7.6,72.3896
7.7,73.6302
7.8,72.2446
7.9,77.5554
8,93.0839
8.1,89.4186
8.2,71.3997
8.3,86.6237
8.4,84.7377
8.5,71.0452
8.6,93.3684
8.7,94.751
8.8,74.2906
8.9,74.1052
9,80.6688
9.1,86.0719
9.2,78.6482
9.3,76.3132
9.4,76.3117
9.5,66.853
9.6,73.7041
9.7,77.0703
9.8,69.749
9.9,70.2882
10,75.0533
10.1,69.3089
10.2,59.4333
10.3,74.4767
10.4,75.1342
10.5,72.7753
10.6,72.7388
10.7,69.0256
10.8,60.6628
10.9,61.1917
11,68.1434
11.1,69.772
11.2,72.5466
11.3,67.8552
11.4,93.7084
11.5,90.5445
11.6,92.9541
11.7,78.396
11.8,79.3244
11.9,90.7968
12,88.2809
12.1,85.8262
12.2,85.6876
12.3,76.0476
12.4,75.3616
12.5,78.6127
12.6,74.7949
12.7,68.781
12.8,68.3924
12.9,69.4607
13,70.1389
13.1,62.4008
13.2,68.3312
13.3,81.4289
13.4,87.4863
13.5,86.7526
13.6,73.3586
13.7,76.7186
13.8,79.798
13.9,74.1795
14,75.6947
14.1,76.6938
14.2,73.8039
14.3,72.0065
14.4,72.6237
14.5,74.6503
14.6,77.2789
14.7,76.2745
14.8,93.637
14.9,95.5257
15,83.0344
15.1,78.5361
15.2,73.5512
15.3,65.9144
15.4,67.8835
15.5,68.3001
15.6,62.4754
15.7,68.6301
15.8,79.1811
15.9,78.0847
16,73.5824
16.1,74.318
16.2,75.0208
16.3,72.9132
16.4,76.1335
16.5,77.7997
16.6,78.4261
16.7,73.3235
16.8,69.4014
16.9,78.8914
17,83.062
17.1,83.4168
17.2,83.6409
17.3,82.4846
17.4,68.6955
17.5,75.1809
17.6,85.7646
17.7,80.5675
17.8,80.8545
17.9,82.8424
18,76.4927
18.1,74.1993
18.2,70.5668
18.3,77.5895
18.4,85.7283
18.5,88.8305
18.6,95.0954
18.7,71.5124
18.8,75.1492
18.9,83.7422
19,80.3882
19.1,78.7307
19.2,81.536
19.3,71.7635
19.4,75.7403
19.5,87.3581
19.6,93.8232
19.7,94.9972
19.8,69.0683
19.9,72.0971
20,71.0728
20.1,69.3935
20.2,75.779
20.3,77.7514
20.4,73.0131
20.5,77.055
20.6,79.0143
20.7,79.3879
20.8,93.0728
20.9,82.2548
21,67.3238
21.1,79.783
21.2,82.4046
21.3,77.1159
21.4,70.2836
21.5,70.9432
21.6,74.3026
21.7,76.5704
21.8,64.8563
21.9,80.9784
22,71.9202
22.1,82.2481
22.2,97.5276
22.3,97.3183
22.4,68.2172
22.5,75.9569
22.6,87.2093
22.7,91.8195
22.8,89.093
22.9,75.6093
23,76.539
23.1,78.5821
23.2,79.7259
23.3,80.9131
23.4,72.1433
23.5,82.7672
23.6,79.1607
23.7,74.2094
23.8,75.0981
23.9,77.1911
24,81.6002
24.1,81.0966
24.2,84.5999
24.3,71.3646
24.4,78.0558
24.5,78.8574
24.6,80.8941
24.7,67.5674
24.8,75.0253
24.9,71.521
25,76.9702
25.1,94.6291
25.2,97.4405
25.3,86.6035
25.4,81.6577
25.5,67.7423
25.6,85.5688
25.7,83.8581
25.8,82.8329
25.9,81.3075
26,76.1518
26.1,65.1666
26.2,66.7375
26.3,70.8318
26.4,72.0043
26.5,74.9964
26.6,73.9267
26.7,74.4739
26.8,72.6648
26.9,88.6833
27,79.3427
27.1,77.8295
27.2,72.9531
27.3,70.1583
27.4,93.8864
27.5,84.2563
27.6,65.855
27.7,80.2694
27.8,84.8108
27.9,78.1621
28,64.6784
28.1,82.8057
28.2,79.5246
28.3,81.8628
28.4,86.2947
28.5,85.5955
28.6,82.3574
28.7,70.1419
28.8,73.0288
28.9,68.4858
29,67.306
29.1,68.1343
29.2,75.7808
29.3,68.2354
29.4,92.875
29.5,73.4231
29.6,84.2937
29.7,76.4662
29.8,75.6577
29.9,69.0981
30,76.8628
30.1,88.322
30.2,91.5152
30.3,74.4176
30.4,69.7558
30.5,88.2701
30.6,92.4195
30.7,72.1017
30.8,68.8229
30.9,64.8018
31,63.4554
31.1,67.7357
31.2,66.7493
31.3,72.1324
31.4,77.2838
31.5,78.0376
31.6,68.5334
31.7,80.0167
31.8,79.3532
31.9,78.8126
32,77.8919
32.1,70.6718
32.2,72.1701
32.3,77.1088
32.4,69.815
32.5,61.9957
32.6,66.2251
32.7,78.3956
32.8,73.2897
32.9,62.6139
33,70.3622
33.1,71.4654
33.2,72.1862
33.3,65.8662
33.4,77.7806
33.5,96.1208
33.6,80.6411
33.7,77.5658
33.8,74.9311
33.9,83.1693
34,80.1801
34.1,72.3098
34.2,69.1277
34.3,77.9703
34.4,74.5472
34.5,68.9041
34.6,71.0711
34.7,68.6422
34.8,68.3197
34.9,59.3502
35,53.6275
35.1,67.9694
35.2,76.2428
35.3,65.9939
35.4,60.3716
35.5,58.0785
35.6,54.4839
35.7,68.7437
35.8,72.3529
35.9,69.9863
36,72.7428
36.1,68.8918
36.2,54.0263
36.3,55.5953
36.4,53.6528
36.5,54.627
36.6,52.4716
36.7,79.767
36.8,68.6036
36.9,73.804
37,67.7531
37.1,72.4263
37.2,68.629
37.3,83.3738
37.4,81.5984
37.5,54.7784
37.6,84.5598
37.7,88.6148
37.8,72.4008
37.9,66.817
38,66.8304
38.1,79.0182
38.2,70.8984
38.3,69.4725
38.4,77.1366
38.5,86.2691
38.6,81.5508
38.7,76.6768
38.8,76.3953
38.9,92.626
39,90.7673
39.1,73.6884
39.2,59.8108
39.3,64.3564
39.4,62.892
39.5,66.6075
39.6,68.0488
39.7,63.1294
39.8,78.6144
39.9,75.5447
40,80.5218
40.1,84.4534
40.2,85.4513
40.3,74.4095
40.4,82.949
40.5,75.3418
40.6,64.9304
40.7,77.1504
40.8,81.5096
40.9,73.42
41,79.31
41.1,77.5894
41.2,77.1218
41.3,96.177
41.4,84.5485
41.5,64.8507
41.6,69.1236
41.7,72.3152
41.8,69.6092
41.9,63.4881
42,84.3698
42.1,81.0894
42.2,81.9298
42.3,86.6837
42.4,69.9514
42.5,80.0175
42.6,78.3604
42.7,82.0358
42.8,93.7581
42.9,84.9183
43,74.3214
43.1,80.2293
43.2,77.0575
43.3,94.9977
43.4,92.1653
43.5,85.0847
43.6,89.6411
43.7,95.8765
43.8,79.7281
43.9,80.2648
44,76.609
44.1,75.8339
44.2,76.4993
44.3,83.6247
44.4,85.0535
44.5,84.3639
44.6,96.2214
44.7,74.8803
44.8,76.0821
44.9,79.1801
45,77.666
45.1,91.7648
45.2,96.5152
45.3,85.7503
45.4,73.5683
45.5,67.9088
45.6,66.7276
45.7,75.6403
45.8,81.2371
45.9,80.7246
46,79.3949
46.1,75.1484
46.2,88.0929
46.3,89.407
46.4,83.7407
46.5,68.1535
46.6,68.7441
46.7,64.9961
46.8,90.6052
46.9,71.8313
47,75.3119
