time (sec),level (dB(SPL))
0.1,75.7958
0.2,76.1207
0.3,80.7994
0.4,76.7757
0.5,69.9496
0.6,77.0854
0.7,68.5819
0.8,58.2194
0.9,62.4112
1,79.4228
1.1,80.2422
1.2,70.2125
1.3,67.517
1.4,72.9266
1.5,71.2166
1.6,68.0788
1.7,64.4468
1.8,60.5076
1.9,58.5635
2,73.4533
2.1,83.6145
2.2,84.0328
2.3,78.8223
2.4,67.5794
2.5,81.504
2.6,80.2081
2.7,69.5304
2.8,81.0464
2.9,75.032
3,71.1293
3.1,81.8012
3.2,77.3623
3.3,70.3932
3.4,71.5011
3.5,57.0617
3.6,51.2305
3.7,52.4902
3.8,70.2111
3.9,61.4298
4,63.8223
4.1,69.5867
4.2,72.819
4.3,72.1111
4.4,66.4862
4.5,71.5103
4.6,63.5195
4.7,63.9534
4.8,65.655
4.9,61.3321
5,66.5905
5.1,63.2057
5.2,70.304
5.3,68.2989
5.4,70.9961
5.5,75.0437
5.6,69.2961
5.7,66.855
5.8,78.9168
5.9,76.8516
6,69.8908
6.1,73.6206
6.2,81.1392
6.3,80.6988
6.4,71.0647
6.5,69.8443
6.6,70.8158
6.7,66.808
6.8,72.9182
6.9,74.1937
7,63.0416
7.1,81.5809
7.2,69.1211
7.3,74.4619
7.4,66.9859
7.5,63.7686
7.6,67.6045
7.7,66.8178
7.8,63.2947
7.9,60.1475
8,75.4497
8.1,64.2912
8.2,62.8044
8.3,56.8965
8.4,55.5486
8.5,56.4704
8.6,54.6849
8.7,71.5621
8.8,89.8563
8.9,81.3726
9,71.0642
9.1,78.0706
9.2,76.0668
9.3,64.7857
9.4,63.2833
9.5,57.887
9.6,55.3406
9.7,68.3076
9.8,60.2841
9.9,74.6296
10,74.1952
10.1,69.7641
10.2,75.1236
10.3,75.1295
10.4,61.7298
10.5,74.5936
10.6,72.1837
10.7,73.6402
10.8,71.8469
10.9,69.8046
11,56.0729
11.1,56.8611
11.2,52.2593
11.3,79.3724
11.4,76.3934
11.5,71.1574
11.6,69.6752
11.7,73.8803
11.8,68.2336
11.9,73.91
12,76.5626
12.1,80.8213
12.2,66.6893
12.3,60.8364
12.4,58.1126
12.5,62.3126
12.6,54.2281
12.7,57.7236
12.8,65.3134
12.9,74.4364
13,76.6552
13.1,78.6389
13.2,71.8617
13.3,74.0408
13.4,72.0187
13.5,63.992
13.6,57.649
13.7,60.7642
13.8,58.8162
13.9,53.7911
14,63.5075
14.1,77.1563
14.2,67.8664
14.3,69.4714
14.4,70.9491
14.5,64.9879
14.6,63.4344
14.7,62.3293
14.8,64.8428
14.9,65.653
15,80.0539
15.1,72.2696
15.2,63.0893
15.3,63.0627
15.4,60.817
15.5,65.1077
15.6,69.9291
15.7,67.7725
15.8,69.384
15.9,70.5088
16,61.229
16.1,76.9403
16.2,68.6663
16.3,74.2819
16.4,70.1935
16.5,52.7867
16.6,55.688
16.7,56.6258
16.8,56.0033
16.9,55.5498
17,70.7458
17.1,76.2668
17.2,71.7639
17.3,78.3017
17.4,76.3023
17.5,63.5259
17.6,70.189
17.7,68.2764
17.8,72.6434
17.9,74.6981
18,70.2995
18.1,76.0517
18.2,63.7361
18.3,57.3528
18.4,62.7619
18.5,68.6291
18.6,67.7898
18.7,65.2933
18.8,65.7186
18.9,66.8493
19,61.1606
19.1,62.8854
19.2,70.3165
19.3,74.3968
19.4,71.9028
19.5,61.368
19.6,60.1186
19.7,59.1207
19.8,53.5789
19.9,52.8346
20,53.629
20.1,53.121
20.2,65.3129
20.3,66.9244
20.4,71.1694
20.5,72.5102
20.6,65.2847
20.7,71.6676
20.8,69.6248
20.9,67.6827
21,68.8344
21.1,58.4073
21.2,72.2195
21.3,70.998
21.4,68.3409
21.5,70.2842
21.6,65.8442
21.7,64.3236
21.8,70.1335
21.9,78.6359
22,65.9373
22.1,66.8771
22.2,72.6247
22.3,62.8269
22.4,71.9454
22.5,73.1124
22.6,61.4822
22.7,61.5585
22.8,56.4179
22.9,56.2992
23,56.6499
23.1,53.541
23.2,52.4289
23.3,71.3025
23.4,71.8807
23.5,66.4575
23.6,85.2099
23.7,77.7737
23.8,65.4603
23.9,67.1195
24,59.582
24.1,61.6397
24.2,69.503
24.3,60.6064
24.4,68.3847
24.5,81.3633
24.6,72.7958
24.7,78.2383
24.8,78.5705
24.9,78.7838
25,67.4149
25.1,69.2272
25.2,61.5294
25.3,68.7
25.4,72.4004
25.5,75.2139
25.6,68.0708
25.7,69.9944
25.8,68.5498
25.9,63.94
26,59.0569
26.1,63.6008
26.2,61.5094
26.3,63.1065
26.4,61.1929
26.5,55.7334
26.6,52.143
26.7,63.0011
26.8,65.151
26.9,60.9304
27,55.5118
27.1,61.4523
27.2,70.8778
27.3,71.8699
27.4,72.6864
27.5,74.8653
27.6,61.6685
27.7,53.8529
27.8,60.2186
27.9,73.3103
28,71.5181
28.1,77.2341
28.2,69.6476
28.3,82.8358
28.4,78.4923
28.5,68.0347
28.6,74.5379
28.7,68.2444
28.8,72.4876
28.9,73.4009
29,64.0898
29.1,63.3888
29.2,65.6931
29.3,64.0021
29.4,58.3961
29.5,54.1826
29.6,59.8592
29.7,59.3118
29.8,64.053
29.9,82.7119
30,62.9901
30.1,70.8627
30.2,70.2549
30.3,69.5721
30.4,73.4445
30.5,71.4611
30.6,72.566
30.7,75.2535
30.8,60.5118
30.9,54.3818
31,56.9936
31.1,57.6337
31.2,58.2962
31.3,66.4152
31.4,85.353
31.5,69.9934
31.6,68.9172
31.7,68.3453
31.8,66.4087
31.9,70.3466
32,74.0623
32.1,79.307
32.2,78.3241
32.3,69.877
32.4,74.0933
32.5,75.5168
