time (sec),level (dB(SPL))
0.1,71.5565
0.2,77.6939
0.3,83.9423
0.4,77.8268
0.5,77.9521
0.6,79.4595
0.7,79.5978
0.8,75.4984
0.9,86.0587
1,89.0202
1.1,85.3513
1.2,75.3569
1.3,78.3124
1.4,87.3006
1.5,88.3234
1.6,80.4735
1.7,78.2633
1.8,79.9619
1.9,85.0399
2,75.6256
2.1,75.5083
2.2,75.2646
2.3,79.0333
2.4,80.9959
2.5,78.8552
2.6,74.6931
2.7,78.5848
2.8,75.067
2.9,76.9038
3,73.1938
3.1,71.8125
3.2,70.1083
3.3,76.12
3.4,79.4378
3.5,72.1728
3.6,79.3386
3.7,76.6062
3.8,73.949
3.9,75.267
4,78.2602
4.1,76.595
4.2,74.7486
4.3,75.0883
4.4,77.6856
4.5,73.8052
4.6,78.7293
4.7,73.1548
4.8,73.1663
4.9,75.7797
5,76.2288
5.1,75.9376
5.2,80.3651
5.3,74.4615
5.4,77.3028
5.5,75.7009
5.6,73.4237
5.7,71.9689
5.8,74.8688
5.9,70.3744
6,70.648
6.1,71.3404
6.2,70.8273
6.3,73.0729
6.4,72.7312
6.5,71.1401
6.6,73.1539
6.7,77.4778
6.8,77.2081
6.9,80.9443
7,81.4496
7.1,73.6979
7.2,77.9447
7.3,76.2176
7.4,77.1565
7.5,88.6095
7.6,90.3123
7.7,79.3978
7.8,75.5105
7.9,76.2787
8,79.9711
8.1,74.6245
8.2,75.8646
8.3,77.5606
8.4,72.072
8.5,70.5418
8.6,71.4522
8.7,77.2231
8.8,72.8661
8.9,76.5341
9,77.6563
9.1,77.9847
9.2,80.4758
9.3,74.4757
9.4,74.0002
9.5,78.6876
9.6,83.7387
9.7,85.3329
9.8,80.4997
9.9,80.1928
10,75.7521
10.1,80.5065
10.2,80.5491
10.3,78.9753
10.4,76.354
10.5,77.0362
10.6,90.4249
10.7,94.1564
10.8,77.3737
10.9,76.044
11,75.5977
11.1,75.6608
11.2,74.1675
11.3,79.0098
11.4,81.1588
11.5,73.4519
11.6,72.6444
11.7,72.6061
11.8,72.0339
11.9,72.8839
12,72.2505
12.1,74.0073
12.2,75.6309
12.3,74.2777
12.4,70.8775
12.5,70.6008
12.6,78.9062
12.7,75.5411
12.8,84.5091
12.9,76.8091
13,74.4231
13.1,74.7281
13.2,72.5881
13.3,71.901
13.4,73.3982
13.5,81.4865
13.6,82.4459
13.7,72.1944
13.8,72.3152
13.9,72.722
14,72.1202
14.1,71.9413
14.2,74.8556
14.3,73.6979
14.4,73.8729
14.5,76.4058
14.6,73.6689
14.7,71.9324
14.8,71.9635
14.9,71.8825
15,72.559
15.1,78.5781
15.2,80.3442
15.3,80.9395
15.4,77.6616
15.5,78.1079
15.6,80.5974
15.7,72.5796
15.8,80.8893
15.9,74.1464
16,67.4997
16.1,61.0733
16.2,82.2577
16.3,87.5338
16.4,71.9147
16.5,75.8151
16.6,72.0889
16.7,69.8041
16.8,72.2644
16.9,67.3895
17,61.4027
17.1,63.7395
17.2,70.561
17.3,68.7708
17.4,67.8531
17.5,75.6402
17.6,70.8698
17.7,68.2181
17.8,64.2226
17.9,67.2029
18,78.6809
18.1,56.9108
18.2,60.9978
18.3,63.5241
18.4,63.1215
18.5,58.945
18.6,72.5411
18.7,81.7691
18.8,76.0928
18.9,56.3284
19,74.252
19.1,72.6541
19.2,77.9155
19.3,80.7774
19.4,87.1138
19.5,66.9266
19.6,80.8095
19.7,79.9147
19.8,67.4876
19.9,68.5729
20,76.042
20.1,79.7714
20.2,80.9574
20.3,68.6241
20.4,72.8999
20.5,80.0258
20.6,71.5756
20.7,67.2181
20.8,68.8451
20.9,68.5937
21,71.9153
21.1,70.0279
21.2,70.0342
21.3,69.673
21.4,78.6059
21.5,83.1004
21.6,67.0802
21.7,63.0795
21.8,73.2227
21.9,72.7467
22,60.6164
22.1,56.9752
22.2,58.9356
22.3,76.6473
22.4,75.6686
22.5,75.383
22.6,71.054
22.7,73.7091
22.8,79.0289
22.9,76.0919
23,59.845
23.1,70.9147
23.2,76.0294
23.3,72.2397
23.4,68.778
23.5,78.3029
23.6,88.6175
23.7,72.6618
23.8,68.7138
23.9,76.383
24,72.8742
24.1,69.0279
24.2,71.9003
24.3,72.5183
24.4,72.9716
24.5,64.7839
24.6,73.2438
24.7,72.6083
24.8,71.9197
24.9,66.9109
25,70.9919
25.1,68.4704
25.2,67.6109
25.3,68.2281
25.4,85.2218
25.5,79.1228
25.6,78.7341
25.7,78.166
25.8,81.2903
25.9,76.6351
26,76.3616
26.1,77.3706
26.2,71.8829
26.3,73.32
26.4,73.5198
26.5,78.8988
26.6,70.2095
26.7,70.0232
26.8,66.4094
26.9,63.8162
27,67.7116
27.1,63.1022
27.2,59.6406
27.3,58.2651
27.4,58.6303
27.5,60.863
27.6,61.5112
27.7,60.3028
27.8,58.9331
27.9,67.9911
28,73.1135
28.1,76.9564
28.2,69.0581
28.3,64.5686
28.4,65.2852
28.5,82.7901
28.6,71.5163
28.7,79.7033
28.8,83.0424
28.9,82.2961
29,78.2218
29.1,75.9379
29.2,71.7502
29.3,79.1156
29.4,66.6471
29.5,66.451
29.6,66.124
29.7,66.445
29.8,66.1519
29.9,67.7086
30,80.812
30.1,79.8774
30.2,77.0351
30.3,74.3081
30.4,71.8342
30.5,71.1862
30.6,86.7547
30.7,88.8199
30.8,88.0871
30.9,84.6706
31,82.0718
31.1,77.3967
31.2,82.1508
31.3,87.4749
31.4,85.5842
31.5,76.372
31.6,86.5284
31.7,87.5566
31.8,86.2245
31.9,80.0055
32,78.619
32.1,79.3603
32.2,80.9086
32.3,82.5092
32.4,81.7751
32.5,77.6149
32.6,73.252
32.7,78.1817
32.8,78.0478
32.9,79.4845
33,78.9135
33.1,78.8657
33.2,75.9819
33.3,77.4459
33.4,79.4964
33.5,73.9355
33.6,79.3827
33.7,81.0298
33.8,77.4805
33.9,75.7449
34,74.2997
34.1,73.0841
34.2,71.3285
34.3,75.9817
34.4,76.327
34.5,73.6517
34.6,71.6718
34.7,72.1563
34.8,71.5389
34.9,70.5059
35,75.8098
35.1,76.5105
35.2,74.433
35.3,72.7159
35.4,71.4293
35.5,70.2065
35.6,69.2262
35.7,74.1502
35.8,70.9419
35.9,68.9511
