time (sec),level (dB(SPL))
0.1,76.2815
0.2,78.6702
0.3,74.7317
0.4,74.9784
0.5,73.3612
0.6,73.9324
0.7,65.2347
0.8,73.405
0.9,74.3383
1,73.04
1.1,66.5289
1.2,60.173
1.3,60.28
1.4,66.722
1.5,70.9048
1.6,73.1877
1.7,68.2512
1.8,72.6747
1.9,69.3417
2,85.5508
2.1,85.7788
2.2,78.8155
2.3,81.2275
2.4,71.6992
2.5,76.9811
2.6,75.6225
2.7,68.2557
2.8,74.9663
2.9,79.5496
3,86.0188
3.1,83.8421
3.2,80.7096
3.3,81.4859
3.4,75.3863
3.5,73.4211
3.6,73.0814
3.7,75.5633
3.8,72.7658
3.9,74.1846
4,84.8729
4.1,75.4768
4.2,74.3834
4.3,74.9095
4.4,72.2528
4.5,70.7347
4.6,71.4367
4.7,70.3105
4.8,75.1596
4.9,82.4851
5,73.9899
5.1,75.9457
5.2,78.8019
5.3,80.965
5.4,75.6193
5.5,69.6853
5.6,78.3496
5.7,82.2753
5.8,71.9971
5.9,62.9382
6,54.9162
6.1,53.2132
6.2,52.5044
6.3,54.6
6.4,59.2006
6.5,55.6034
6.6,53.0803
6.7,75.9627
6.8,73.7647
6.9,82.6815
7,70.1683
7.1,57.854
7.2,59.6843
7.3,57.7328
7.4,55.9718
7.5,52.1926
7.6,73.9678
7.7,74.893
7.8,71.7923
7.9,76.8916
8,79.748
8.1,82.0209
8.2,84.5312
8.3,86.7425
8.4,84.3548
8.5,85.7756
8.6,72.2555
8.7,74.7352
8.8,70.9775
8.9,73.338
9,77.1157
9.1,76.3614
9.2,69.5109
9.3,70.9244
9.4,72.396
9.5,63.3793
9.6,70.5712
9.7,70.8406
9.8,69.4026
9.9,74.257
10,70.8943
10.1,61.2979
10.2,58.3844
10.3,58.8121
10.4,55.119
10.5,80.2332
10.6,81.7666
10.7,75.4834
10.8,76.5843
10.9,79.6579
11,58.8926
11.1,52.4282
11.2,70.0225
11.3,70.2531
11.4,72.5405
11.5,75.7983
11.6,74.4668
11.7,73.7447
11.8,74.1251
11.9,65.249
12,80.064
12.1,81.0918
12.2,72.2211
12.3,70.503
12.4,75.2142
12.5,59.0845
12.6,71.3436
12.7,68.0166
12.8,73.7653
12.9,70.8799
13,58.1376
13.1,71.9909
13.2,74.1537
13.3,84.6195
13.4,79.7655
13.5,75.346
13.6,74.8943
13.7,73.473
13.8,59.0799
13.9,61.8191
14,76.6569
14.1,78.0693
14.2,73.6471
14.3,74.991
14.4,66.3793
14.5,73.372
14.6,73.9397
14.7,68.6639
14.8,68.2332
14.9,72.8952
15,74.6905
15.1,70.4177
15.2,78.2137
15.3,67.881
15.4,67.996
15.5,69.282
15.6,57.0456
15.7,51.6208
15.8,52.4588
15.9,53.9339
16,77.9657
16.1,80.1806
16.2,63.5454
16.3,58.0403
16.4,59.2444
16.5,63.2312
16.6,75.1378
16.7,75.5589
16.8,79.215
16.9,89.1863
17,79.3613
17.1,80.0376
17.2,79.1851
17.3,82.3641
17.4,82.1582
17.5,70.6284
17.6,68.0057
17.7,80.2399
17.8,77.1042
17.9,77.5453
18,70.0943
18.1,76.5043
18.2,81.2557
18.3,76.1908
18.4,80.822
18.5,75.1195
18.6,75.1738
18.7,77.8023
18.8,75.6264
18.9,76.2122
19,79.2143
19.1,81.3315
19.2,82.0018
19.3,80.003
19.4,80.6364
19.5,74.8973
19.6,80.0364
19.7,66.0321
19.8,65.1033
19.9,78.7444
20,80.5632
20.1,76.9075
20.2,77.3105
20.3,73.8193
20.4,86.128
20.5,83.3144
20.6,80.748
20.7,80.504
20.8,78.0488
20.9,79.4099
21,74.0793
21.1,70.1929
21.2,69.6131
21.3,71.6108
21.4,69.5386
21.5,78.3768
21.6,75.8813
21.7,76.0442
21.8,75.2186
21.9,68.1323
22,73.7647
22.1,70.8784
22.2,58.5914
22.3,60.4508
22.4,55.6335
22.5,70.9741
22.6,74.7125
22.7,78.1275
22.8,67.7631
22.9,72.809
23,74.4304
23.1,64.4726
23.2,70.8498
23.3,65.7608
23.4,62.0207
23.5,60.9603
23.6,59.6752
23.7,62.4507
23.8,67.8237
23.9,79.3595
24,83.196
24.1,74.3789
24.2,77.5772
24.3,74.0222
24.4,75.5971
24.5,72.4619
24.6,68.8336
24.7,82.388
24.8,77.6638
24.9,73.4704
25,74.0294
25.1,73.6447
25.2,76.016
25.3,74.1275
25.4,67.6
25.5,71.1929
25.6,80.377
25.7,69.7729
25.8,74.7609
