time (sec),level (dB(SPL))
0.1,70.2063
0.2,75.8235
0.3,80.7887
0.4,73.4749
0.5,86.3539
0.6,80.8015
0.7,67.4163
0.8,72.6873
0.9,71.6564
1,67.8742
1.1,59.5082
1.2,56.1413
1.3,54.0691
1.4,53.5794
1.5,52.3167
1.6,53.7227
1.7,58.2603
1.8,61.2915
1.9,56.4362
2,52.8832
2.1,59.1309
2.2,63.4871
2.3,73.5049
2.4,74.0246
2.5,91.1738
2.6,70.019
2.7,80.3326
2.8,89.8344
2.9,70.1816
3,67.0773
3.1,72.2798
3.2,73.7945
3.3,72.1558
3.4,75.0249
3.5,73.0577
3.6,81.3119
3.7,71.62
3.8,65.6369
3.9,59.2515
4,54.9213
4.1,56.9528
4.2,65.8988
4.3,72.0151
4.4,83.8517
4.5,72.8872
4.6,63.5042
4.7,58.3996
4.8,59.2144
4.9,56.1987
5,72.938
5.1,69.09
5.2,68.043
5.3,69.473
5.4,58.582
5.5,68.9787
5.6,67.8127
5.7,72.5875
5.8,81.1902
5.9,80.4464
6,74.5982
6.1,65.5747
6.2,82.0331
6.3,64.7546
6.4,73.8792
6.5,68.8656
6.6,76.2734
6.7,74.5627
6.8,86.9515
6.9,75.0732
7,85.0694
7.1,75.9627
7.2,74.6164
7.3,71.0348
7.4,86.2812
7.5,84.4377
7.6,85.1013
7.7,80.7043
7.8,74.4916
7.9,67.9483
8,75.8982
8.1,73.9778
8.2,67.5703
8.3,59.8323
8.4,67.7228
8.5,62.7196
8.6,52.2811
8.7,56.985
8.8,68.2817
8.9,82.3087
9,83.7377
9.1,67.6998
9.2,60.7381
9.3,54.831
9.4,52.6479
9.5,54.4037
9.6,57.4397
9.7,54.2509
9.8,71.4461
9.9,87.4803
10,82.3046
10.1,78.6203
10.2,75.4454
10.3,73.8573
10.4,71.9989
10.5,73.6807
10.6,78.9709
10.7,76.429
10.8,81.9817
10.9,91.1011
11,88.8108
11.1,77.5262
11.2,71.2022
11.3,87.2156
11.4,84.0123
11.5,59.8869
11.6,54.7899
11.7,74.5176
11.8,92.2973
11.9,86.0223
12,75.373
12.1,83.0437
12.2,78.2525
12.3,76.7722
12.4,69.1613
12.5,65.1352
12.6,78.9751
12.7,76.3099
12.8,75.6508
12.9,76.4026
13,69.1141
13.1,67.5993
13.2,71.7527
13.3,62.9839
13.4,61.8043
13.5,55.8986
13.6,58.5121
13.7,58.7933
13.8,74.1455
13.9,85.6752
14,73.6643
14.1,72.609
14.2,62.6331
14.3,70.4211
14.4,69.3366
14.5,70.731
14.6,73.0278
14.7,68.6834
14.8,70.9875
14.9,73.5326
15,72.8706
15.1,71.8391
15.2,72.0611
15.3,68.0113
15.4,61.9455
15.5,67.4689
15.6,65.5507
15.7,70.4135
15.8,73.9908
15.9,70.7153
16,88.8399
16.1,87.8441
16.2,73.3528
16.3,75.7823
16.4,73.8636
16.5,85.5626
16.6,72.6887
16.7,67.568
16.8,73.1153
16.9,74.0202
17,78.0441
17.1,70.2856
17.2,66.3368
17.3,74.2964
17.4,67.5189
17.5,60.891
17.6,55.1604
17.7,54.6139
17.8,53.5062
17.9,55.8548
18,62.4953
18.1,58.0908
18.2,53.3735
18.3,53.8773
18.4,55.0443
18.5,57.9071
18.6,58.2963
18.7,55.7668
18.8,54.1862
18.9,56.4946
19,79.0406
19.1,77.4944
19.2,75.1917
19.3,72.802
19.4,79.6123
19.5,78.4024
19.6,75.8453
19.7,71.5238
19.8,64.732
19.9,58.1833
20,54.5693
20.1,54.4099
20.2,75.8737
20.3,74.707
20.4,72.4336
20.5,69.7406
20.6,79.1681
20.7,76.4154
20.8,73.6353
20.9,72.484
21,71.1617
21.1,69.9627
21.2,68.9477
21.3,67.0281
21.4,66.8837
21.5,70.7891
21.6,71.2901
21.7,76.1103
21.8,73.7023
21.9,69.5474
22,68.3075
22.1,72.1267
22.2,68.5115
22.3,68.9139
22.4,69.7669
22.5,67.2436
22.6,63.5458
22.7,71.4132
22.8,70.3182
