freq (Hz),ISL (dB)
232.155,34.8555
232.828,35.5683
233.501,36.5778
234.174,36.9015
234.846,36.447
235.519,36.3635
236.192,35.9032
236.865,35.3693
237.538,35.575
238.211,35.0679
238.884,34.724
239.557,34.6627
240.23,35.3743
240.903,34.8336
241.576,34.2899
242.249,34.6244
242.921,34.577
243.594,34.4283
244.267,35.1746
244.94,35.5513
245.613,35.4148
246.286,36.4917
246.959,37.1278
247.632,37.4725
248.305,36.7697
248.978,36.0578
249.651,35.2939
250.323,37.3467
250.996,36.8758
251.669,37.6243
252.342,38.0341
253.015,36.6029
253.688,36.1009
254.361,36.0843
255.034,36.0714
255.707,34.8159
256.38,34.485
257.053,33.8768
257.726,33.5916
258.398,34.4872
259.071,34.8552
259.744,34.3652
260.417,34.2965
261.09,35.9905
261.763,37.3787
262.436,37.8729
263.109,35.9759
263.782,34.6478
264.455,33.0033
265.128,33.9352
265.8,32.9843
266.473,33.2913
267.146,33.1198
267.819,33.0673
268.492,33.3893
269.165,33.0159
269.838,32.466
270.511,33.2812
271.184,34.5171
271.857,34.5927
272.53,34.05
273.203,34.5935
273.875,34.4349
274.548,34.1589
275.221,35.7258
275.894,36.2756
276.567,36.3629
277.24,38.7415
277.913,37.7218
278.586,36.3033
279.259,34.3289
279.932,32.5048
280.605,32.5688
281.277,32.7348
281.95,34.9735
282.623,33.3194
283.296,35.7636
283.969,35.0627
284.642,35.5961
285.315,35.7207
285.988,34.6014
286.661,32.5881
287.334,31.9578
288.007,32.8078
288.68,31.8837
289.352,33.3459
290.025,32.9911
290.698,32.7308
291.371,33.0444
292.044,33.9174
292.717,35.8933
293.39,37.7488
294.063,39.6278
294.736,38.7182
295.409,36.7594
296.082,33.3928
296.754,33.0363
297.427,32.5349
298.1,32.5033
298.773,32.1714
299.446,32.36
300.119,31.841
300.792,31.6773
301.465,30.7835
302.138,30.7913
302.811,31.4392
303.484,31.5244
304.156,31.5667
304.829,32.0248
305.502,32.198
306.175,31.6216
306.848,31.8863
307.521,31.2941
308.194,31.607
308.867,32.7299
