time (sec),level (dB(SPL))
0.1,77.5654
0.2,82.9672
0.3,84.0497
0.4,76.7366
0.5,77.5125
0.6,77.0852
0.7,77.0231
0.8,76.5978
0.9,76.5773
1,76.492
1.1,76.5229
1.2,79.9254
1.3,77.6061
1.4,80.0142
1.5,79.3638
1.6,77.4693
1.7,77.2956
1.8,85.4679
1.9,83.0781
2,82.399
2.1,77.6531
2.2,77.4654
2.3,78.9639
2.4,81.9944
2.5,76.4489
2.6,76.589
2.7,76.5472
2.8,76.4605
2.9,76.5477
3,81.8331
3.1,79.9116
3.2,80.7858
3.3,77.789
3.4,79.253
3.5,78.0387
3.6,78.1124
3.7,77.4068
3.8,81.8494
3.9,78.4851
4,77.7013
4.1,77.1182
4.2,79.1121
4.3,77.6316
4.4,77.0737
4.5,76.827
4.6,77.8821
4.7,79.2262
4.8,79.0558
4.9,77.7498
5,78.7625
5.1,79.3221
5.2,77.0814
5.3,77.9339
5.4,77.3887
5.5,78.1943
5.6,78.2191
5.7,78.1121
5.8,76.5675
5.9,76.5697
6,76.8663
6.1,77.9277
6.2,76.784
6.3,77.0097
6.4,78.716
6.5,76.5989
6.6,76.6045
6.7,76.6958
6.8,76.7026
6.9,76.649
7,76.5663
7.1,77.8336
7.2,82.4845
7.3,80.1503
7.4,78.3029
7.5,81.2506
7.6,77.182
7.7,78.0367
7.8,77.2371
7.9,76.7817
8,77.0479
8.1,80.8401
8.2,78.7722
8.3,78.1287
8.4,77.7447
8.5,76.9119
8.6,77.7708
8.7,77.9723
8.8,76.7997
8.9,76.585
9,76.5501
9.1,76.6131
9.2,76.8109
9.3,76.7654
9.4,76.8249
9.5,77.5626
9.6,80.1298
9.7,77.8925
9.8,77.7241
9.9,78.1758
10,78.5168
10.1,77.2582
10.2,78.3769
10.3,77.1982
10.4,77.5795
10.5,78.1352
10.6,77.2524
10.7,85.3938
10.8,78.586
10.9,78.0246
11,78.1989
11.1,78.1679
11.2,77.3913
11.3,77.2585
11.4,77.3742
11.5,77.2993
11.6,76.9438
11.7,77.3663
11.8,77.5314
11.9,78.0043
12,76.7094
12.1,76.7761
12.2,76.6388
12.3,76.553
12.4,76.2346
12.5,75.6195
12.6,77.1167
12.7,77.4796
12.8,78.2255
12.9,75.3209
13,77.2911
13.1,77.1564
13.2,77.5407
13.3,77.6235
13.4,86.0117
13.5,78.5302
13.6,77.9898
13.7,76.9305
13.8,75.248
13.9,76.6376
14,76.2515
14.1,74.5511
14.2,74.6081
14.3,74.5851
14.4,78.2779
14.5,81.7273
14.6,80.907
14.7,75.5708
14.8,74.8961
14.9,77.0586
15,78.658
15.1,74.7613
15.2,75.2353
15.3,76.465
15.4,75.5567
15.5,78.0105
15.6,75.6327
15.7,75.4107
15.8,75.9486
15.9,76.0798
16,76.3936
16.1,77.0365
16.2,76.3299
16.3,75.9118
16.4,77.3791
16.5,75.5164
16.6,76.0686
16.7,75.5649
16.8,74.5067
16.9,74.6291
17,74.709
17.1,75.5502
17.2,76.6249
17.3,77.2357
17.4,75.4677
17.5,86.13
17.6,83.6528
17.7,75.6956
17.8,74.4583
17.9,75.7754
18,76.5488
18.1,76.8036
18.2,77.3755
18.3,78.2494
18.4,78.8597
18.5,76.6083
18.6,76.5251
18.7,76.8062
18.8,75.8353
18.9,75.9837
19,76.1734
19.1,75.6943
19.2,78.1037
19.3,75.3265
19.4,77.8588
19.5,80.0338
19.6,75.5042
19.7,76.5672
19.8,75.7596
19.9,76.8235
20,76.4791
20.1,76.1023
20.2,77.9212
20.3,77.2304
20.4,76.4772
20.5,76.6401
20.6,77.6106
20.7,75.5933
20.8,79.5695
20.9,78.5844
21,76.6723
21.1,77.9724
21.2,75.3119
21.3,75.5798
21.4,75.1022
21.5,75.2605
21.6,75.0631
21.7,75.0123
21.8,75.4508
21.9,79.992
22,78.8368
22.1,77.1175
22.2,76.6086
22.3,79.6519
22.4,78.6755
22.5,79.4561
22.6,78.5125
22.7,76.8102
22.8,76.281
22.9,76.4311
23,75.7648
23.1,77.0827
23.2,76.7896
23.3,76.471
23.4,75.844
23.5,78.3291
23.6,83.0086
23.7,84.5919
23.8,77.8841
23.9,76.3113
24,75.7934
24.1,76.1768
24.2,76.0985
24.3,75.9757
24.4,75.657
24.5,75.6777
24.6,75.6208
24.7,75.6067
24.8,75.3917
24.9,75.046
25,76.714
25.1,77.9248
25.2,75.8574
25.3,79.8876
25.4,77.5739
25.5,75.9424
25.6,76.4178
25.7,75.5843
25.8,75.1604
25.9,75.5177
26,75.9763
26.1,75.7718
26.2,75.4226
26.3,76.3728
26.4,75.4377
26.5,75.6564
26.6,75.6055
26.7,75.6028
26.8,75.8297
26.9,77.6435
27,76.3719
27.1,75.6498
27.2,75.1515
27.3,76.0791
27.4,76.3941
27.5,75.6622
27.6,75.1572
27.7,75.1072
27.8,75.7027
27.9,75.8208
28,76.0348
28.1,76.6928
28.2,76.8528
28.3,76.7817
28.4,76.8287
28.5,76.466
28.6,76.8237
28.7,77.7435
28.8,77.2059
28.9,75.8465
29,75.8462
29.1,76.3609
29.2,76.6597
29.3,76.3579
29.4,76.6471
29.5,75.8658
29.6,78.1805
29.7,76.5458
29.8,76.921
29.9,77.0807
30,77.5432
30.1,76.1721
30.2,76.1419
30.3,76.6136
30.4,76.4841
30.5,75.6734
30.6,76.6987
30.7,76.0348
30.8,75.9737
30.9,76.4609
31,75.7968
31.1,78.6076
31.2,76.5091
31.3,77.5156
31.4,76.395
31.5,75.8234
31.6,76.5877
31.7,75.0042
31.8,75.0101
31.9,75.0855
32,75.1414
32.1,75.5232
32.2,75.6018
32.3,75.3238
32.4,75.1405
32.5,78.0143
32.6,75.1093
32.7,75.0467
32.8,78.0977
32.9,87.271
33,83.3984
33.1,77.6292
33.2,75.6239
33.3,76.3235
33.4,77.3668
33.5,80.9073
33.6,80.9965
33.7,76.4023
33.8,76.2406
33.9,76.6636
34,77.6071
34.1,76.1618
34.2,76.0957
34.3,76.8322
34.4,76.6703
34.5,76.5786
34.6,75.9624
34.7,75.9546
34.8,76.1925
34.9,77.1009
35,76.2223
35.1,75.9494
35.2,76.6334
35.3,76.566
35.4,76.5709
35.5,76.7051
35.6,76.7434
35.7,76.5312
35.8,76.0014
35.9,77.1116
36,77.7016
36.1,76.4559
36.2,76.3083
36.3,79.1603
36.4,75.7445
36.5,77.0716
36.6,76.1667
36.7,76.1292
36.8,77.6856
36.9,75.2238
37,78.3402
37.1,76.1329
37.2,75.2223
37.3,75.1591
37.4,75.1138
37.5,75.4571
37.6,85.3165
37.7,76.4356
37.8,75.8779
37.9,80.979
38,80.8025
38.1,76.753
38.2,79.7544
38.3,79.0924
38.4,79.9885
38.5,78.5649
38.6,79.8301
38.7,77.334
38.8,80.2866
38.9,77.6044
39,80.1769
39.1,77.3589
39.2,78.0334
39.3,77.2795
39.4,77.5099
39.5,78.0636
39.6,83.2619
39.7,77.8999
39.8,85.8448
39.9,80.145
40,77.6817
40.1,77.7875
40.2,77.9318
40.3,77.3847
40.4,77.2165
40.5,76.9693
40.6,77.051
40.7,78.7613
40.8,80.1415
40.9,77.4476
41,78.5892
41.1,77.5711
41.2,77.4015
41.3,76.9512
41.4,76.8685
41.5,76.9066
41.6,76.7715
41.7,84.9672
41.8,78.4916
41.9,78.664
42,77.0872
42.1,78.9824
42.2,77.824
42.3,78.0474
42.4,77.1273
42.5,77.3195
42.6,77.5536
42.7,77.2422
42.8,77.6984
42.9,77.5928
43,77.0252
43.1,76.8423
43.2,76.8466
43.3,76.9095
43.4,76.9354
43.5,77.1095
43.6,77.6616
43.7,80.2408
43.8,79.7792
43.9,77.4142
44,78.9052
44.1,80.4816
44.2,79.7292
44.3,79.189
44.4,77.9424
44.5,77.2003
44.6,77.673
44.7,77.141
44.8,78.7794
44.9,77.1267
45,77.1048
45.1,77.1058
45.2,77.162
45.3,77.0076
45.4,77.1759
45.5,79.2385
45.6,79.7594
45.7,77.5349
45.8,79.9947
45.9,78.4442
46,78.7498
46.1,78.0531
46.2,77.5036
46.3,77.3115
46.4,77.1946
46.5,80.43
46.6,77.5162
46.7,76.0743
46.8,75.2316
46.9,74.6101
47,76.4884
47.1,79.5539
47.2,76.2975
47.3,75.5342
47.4,75.0002
47.5,78.8112
47.6,77.9274
47.7,75.9403
47.8,84.2441
47.9,86.869
48,79.0845
48.1,77.4647
48.2,75.8301
48.3,75.7094
48.4,75.908
48.5,75.0861
48.6,75.6157
48.7,75.6263
48.8,75.5562
48.9,75.2755
49,76.4046
49.1,78.4643
49.2,76.1814
49.3,75.0529
49.4,74.4155
49.5,74.65
49.6,74.9887
49.7,74.8209
49.8,74.7822
49.9,74.653
50,76.6226
50.1,81.9508
50.2,83.0622
50.3,76.8857
50.4,77.5366
50.5,75.2978
50.6,75.0126
50.7,75.8236
50.8,75.9345
50.9,75.2164
51,74.7328
51.1,76.4802
51.2,80.8406
51.3,82.2539
51.4,83.034
51.5,86.1829
51.6,84.765
51.7,82.0784
51.8,85.6817
51.9,81.9872
52,80.7229
52.1,77.7604
52.2,75.7017
52.3,75.7159
52.4,80.8878
52.5,79.3702
52.6,75.5831
52.7,75.8819
52.8,75.788
52.9,75.3085
53,75.2187
53.1,75.9264
53.2,74.5594
53.3,75.8508
53.4,75.9082
53.5,78.3113
53.6,78.7205
53.7,82.8826
53.8,86.534
53.9,75.7367
54,77.6717
54.1,75.8
54.2,82.1093
54.3,75.9225
54.4,75.1222
54.5,75.186
54.6,75.6179
54.7,75.4817
54.8,76.7437
54.9,75.6164
55,75.3154
55.1,75.9813
55.2,78.3421
55.3,78.865
55.4,79.953
55.5,80.2672
55.6,75.5412
55.7,83.5749
55.8,74.7172
55.9,74.7558
56,75.6267
56.1,75.9786
56.2,75.0298
56.3,74.5575
56.4,74.3773
56.5,74.4759
56.6,74.2472
56.7,74.2569
56.8,74.4234
56.9,79.1252
57,76.9122
57.1,74.4418
57.2,80.2301
57.3,86.3523
57.4,79.9154
57.5,74.4472
57.6,74.6311
57.7,76.0193
57.8,76.3419
57.9,74.2552
58,74.4315
58.1,74.422
58.2,75.6183
58.3,83.8783
58.4,82.0199
58.5,75.1199
58.6,78.0459
58.7,78.1876
58.8,75.4893
58.9,78.1018
59,80.9003
59.1,81.1797
59.2,79.5677
59.3,87.0183
59.4,78.205
59.5,76.9983
59.6,77.2029
59.7,78.7334
59.8,79.9255
59.9,82.8415
60,76.7975
60.1,85.9516
60.2,77.0869
60.3,76.4331
60.4,76.8728
60.5,83.2656
60.6,76.5597
60.7,76.8523
60.8,77.4675
60.9,76.5712
61,76.6747
61.1,76.9388
61.2,76.9279
61.3,76.4569
61.4,76.8653
61.5,77.7863
61.6,76.7963
61.7,76.6882
61.8,76.7447
61.9,78.435
62,76.6072
62.1,76.7296
62.2,76.6981
62.3,76.8058
62.4,76.5975
62.5,76.3662
62.6,76.3526
62.7,76.2759
62.8,76.3218
62.9,76.2242
63,75.6837
63.1,74.5657
63.2,80.7515
63.3,78.7372
63.4,82.169
63.5,77.0765
63.6,75.5767
63.7,77.0519
63.8,76.7856
63.9,77.5681
64,77.4592
64.1,77.8966
64.2,76.8071
64.3,77.3847
64.4,76.7128
64.5,74.6052
64.6,77.0219
64.7,81.0491
64.8,75.5845
64.9,74.4251
65,74.2411
65.1,74.5483
65.2,75.626
65.3,81.2355
65.4,78.5798
65.5,75.1053
65.6,75.88
65.7,79.0544
65.8,74.2222
65.9,79.1276
66,87.4432
66.1,84.2918
66.2,76.8721
66.3,75.8224
66.4,81.9227
66.5,75.7648
66.6,77.6653
66.7,75.9335
66.8,78.4973
66.9,78.2924
67,80.5871
67.1,78.8025
67.2,80.4049
67.3,80.1588
67.4,80.9645
67.5,81.3815
67.6,75.2247
67.7,77.6755
67.8,79.2906
67.9,74.8319
68,76.4841
68.1,74.5199
68.2,74.658
68.3,80.5135
68.4,74.766
68.5,76.115
68.6,75.5391
68.7,74.32
68.8,77.996
68.9,77.1314
69,74.6713
69.1,76.1464
69.2,74.467
69.3,74.6236
69.4,80.6706
69.5,76.146
69.6,75.6079
69.7,74.7559
69.8,74.7985
69.9,77.1491
70,75.6419
70.1,74.4311
70.2,77.8783
70.3,78.1787
70.4,74.5015
70.5,77.0371
70.6,74.7296
70.7,75.0923
70.8,74.3979
70.9,74.4491
71,74.3676
71.1,75.0044
71.2,75.089
71.3,74.73
