time (sec),level (dB(SPL))
0.1,63.7562
0.2,81.5949
0.3,78.7431
0.4,67.5624
0.5,73.1275
0.6,61.338
0.7,64.6077
0.8,78.0538
0.9,74.5116
1,66.038
1.1,63.9677
1.2,64.1711
1.3,78.9365
1.4,77.0849
1.5,65.0886
1.6,63.3609
1.7,64.5876
1.8,60.3859
1.9,69.5712
2,69.5513
2.1,55.9168
2.2,58.4263
2.3,61.5764
2.4,60.415
2.5,65.3703
2.6,81.8496
2.7,82.2065
2.8,69.4866
2.9,73.2158
3,65.4385
3.1,68.5213
3.2,71.8386
3.3,72.9872
3.4,77.5834
3.5,77.8427
3.6,69.5923
3.7,65.9106
3.8,71.4808
3.9,81.0774
4,82.5969
4.1,68.4162
4.2,66.0254
4.3,66.9275
4.4,63.0174
4.5,54.3171
4.6,54.2488
4.7,56.7074
4.8,57.7374
4.9,57.8489
5,58.623
5.1,67.2977
5.2,80.7044
5.3,70.217
5.4,86.6406
5.5,78.4905
5.6,75.0634
5.7,69.1107
5.8,72.0131
5.9,72.4948
6,67.2151
6.1,76.7011
6.2,68.6849
6.3,67.4394
6.4,74.0832
6.5,68.4773
6.6,74.2523
6.7,74.2685
6.8,68.0064
6.9,71.1726
7,67.1878
7.1,69.4501
7.2,69.8255
7.3,67.6802
7.4,68.1443
7.5,68.4962
7.6,66.6658
7.7,61.451
7.8,52.2623
7.9,53.3366
8,53.6788
8.1,55.2844
8.2,54.4626
8.3,52.2564
8.4,77.2123
8.5,74.1759
8.6,64.8062
8.7,68.6019
8.8,78.7702
8.9,73.1662
9,53.0752
9.1,58.8091
9.2,71.9577
9.3,73.6676
9.4,69.475
9.5,72.8626
9.6,71.4564
9.7,70.0101
9.8,66.9659
9.9,74.0971
10,75.0407
10.1,70.0642
10.2,62.57
10.3,69.3502
10.4,70.5921
10.5,69.5752
10.6,67.382
10.7,66.2773
10.8,65.3052
10.9,62.7322
11,64.4523
11.1,63.5765
11.2,60.2483
11.3,69.2997
11.4,69.7913
11.5,67.7407
11.6,68.6995
11.7,64.5734
11.8,52.9238
11.9,54.5048
12,71.2714
12.1,74.9593
12.2,74.2114
12.3,76.6981
12.4,71.8391
12.5,72.8761
12.6,72.026
12.7,69.9889
12.8,83.4907
12.9,57.8335
13,61.2558
13.1,54.6
13.2,69.1409
13.3,78.8249
13.4,78.4156
13.5,64.2247
13.6,75.5554
13.7,69.8238
13.8,64.0519
13.9,69.1131
14,68.1802
14.1,67.9855
14.2,63.8695
14.3,74.0947
14.4,71.1395
14.5,75.3033
14.6,66.0623
14.7,70.8275
14.8,73.8181
14.9,69.2808
15,74.2487
15.1,66.9636
15.2,70.9354
15.3,73.302
15.4,69.3378
15.5,65.6251
15.6,83.4527
15.7,66.9405
15.8,71.5959
15.9,77.7129
16,68.6717
16.1,62.1411
16.2,55.9672
16.3,55.4412
16.4,68.9823
16.5,70.7763
16.6,54.1336
16.7,51.8067
16.8,72.3435
16.9,79.4554
17,79.6427
17.1,64.0541
17.2,60.2725
17.3,56.2209
17.4,82.2696
17.5,76.2037
17.6,52.8031
17.7,54.9504
17.8,56.871
17.9,55.7137
18,51.9014
18.1,56.9371
18.2,80.9411
18.3,83.0206
