time (sec),level (dB(SPL))
0.1,76.5921
0.2,78.6237
0.3,80.2405
0.4,79.3579
0.5,78.7732
0.6,76.6399
0.7,77.1381
0.8,76.3347
0.9,75.8855
1,75.827
1.1,76.1813
1.2,75.9931
1.3,83.673
1.4,83.6529
1.5,81.6486
1.6,80.2016
1.7,77.2412
1.8,79.4233
1.9,76.1427
2,76.3012
2.1,76.7474
2.2,77.9036
2.3,76.1131
2.4,84.076
2.5,78.029
2.6,76.5953
2.7,76.1503
2.8,75.8228
2.9,75.7902
3,76.2841
3.1,76.2958
3.2,78.9618
3.3,75.9887
3.4,76.827
3.5,84.0484
3.6,84.5804
3.7,76.6755
3.8,80.2361
3.9,79.8397
4,78.416
4.1,75.7782
4.2,76.3351
4.3,78.8956
4.4,77.6991
4.5,76.0719
4.6,75.7838
4.7,76.7969
4.8,76.1098
4.9,80.107
5,78.6642
5.1,77.2414
5.2,83.6948
5.3,76.3186
5.4,76.3887
5.5,75.911
5.6,75.747
5.7,76.108
5.8,75.8032
5.9,75.7955
6,75.7673
6.1,75.841
6.2,75.8239
6.3,75.8071
6.4,75.7998
6.5,75.7551
6.6,76.2268
6.7,77.9837
6.8,77.9982
6.9,78.265
7,84.9991
7.1,88.9432
7.2,84.9037
7.3,82.3055
7.4,78.9475
7.5,77.0765
7.6,76.7443
7.7,76.5571
7.8,77.0099
7.9,75.823
8,75.7804
8.1,76.6501
8.2,77.4979
8.3,76.8093
8.4,75.8647
8.5,78.5455
8.6,77.4655
8.7,77.4044
8.8,77.8294
8.9,84.6
9,76.2545
9.1,81.5902
9.2,88.1661
9.3,78.648
9.4,79.3181
9.5,76.6528
9.6,76.6265
9.7,76.117
9.8,76.4284
9.9,76.2681
10,75.7845
10.1,75.914
10.2,78.1026
10.3,81.4381
10.4,87.7065
10.5,75.8339
10.6,77.1931
10.7,79.4502
10.8,80.5326
10.9,83.6034
11,82.3357
11.1,77.0389
11.2,77.4321
11.3,80.6407
11.4,75.752
11.5,79.976
11.6,76.4468
11.7,76.0344
11.8,75.8245
11.9,76.4272
12,75.9655
12.1,77.7568
12.2,77.0652
12.3,76.5726
12.4,76.419
12.5,76.5398
12.6,77.5245
12.7,76.6832
12.8,76.584
12.9,76.268
13,76.8295
13.1,76.2224
13.2,76.1368
13.3,76.5657
13.4,76.7442
13.5,77.561
13.6,77.863
13.7,78.0419
13.8,83.5205
13.9,75.7779
14,75.9647
14.1,76.0727
14.2,76.0579
14.3,79.2489
14.4,82.5927
14.5,76.5729
14.6,78.0848
14.7,86.4495
14.8,77.0921
14.9,77.8612
15,76.9786
15.1,88.4788
15.2,86.2597
15.3,77.5803
15.4,81.1046
15.5,76.3144
15.6,77.4993
15.7,76.9803
15.8,76.3541
15.9,76.2263
16,82.2875
16.1,79.6824
16.2,76.6433
16.3,76.0168
16.4,75.8071
16.5,76.4635
16.6,76.4873
16.7,76.7526
16.8,76.9087
16.9,82.3591
17,77.1273
17.1,78.4424
17.2,80.0542
17.3,76.8228
17.4,77.6494
17.5,76.4327
17.6,76.0055
