time (sec),level (dB(SPL))
0.1,84.0071
0.2,83.6066
0.3,74.8093
0.4,76.0161
0.5,75.7366
0.6,74.4903
0.7,75.5252
0.8,75.6649
0.9,74.2867
1,74.7296
1.1,74.4195
1.2,74.3467
1.3,75.791
1.4,80.0641
1.5,84.483
1.6,79.4568
1.7,75.8336
1.8,76.051
1.9,76.9933
2,78.122
2.1,75.7839
2.2,74.2876
2.3,76.6806
2.4,76.9189
2.5,76.3156
2.6,74.737
2.7,74.9077
2.8,76.4015
2.9,76.9211
3,78.544
3.1,75.5846
3.2,74.8187
3.3,74.5726
3.4,76.0205
3.5,74.6031
3.6,75.2114
3.7,74.8764
3.8,74.4833
3.9,75.206
4,77.3466
4.1,80.3436
4.2,80.5173
4.3,75.6087
4.4,75.7252
4.5,76.5843
4.6,77.4459
4.7,76.8641
4.8,76.5611
4.9,77.0917
5,76.8901
5.1,77.7791
5.2,77.0459
5.3,77.86
5.4,77.8918
5.5,76.8994
5.6,76.8767
5.7,77.2124
5.8,77.3633
5.9,77.2711
6,78.0358
6.1,78.4864
6.2,79.8967
6.3,77.4492
6.4,77.5749
6.5,77.7829
6.6,77.6786
6.7,77.7976
6.8,77.8296
6.9,79.018
7,77.7698
7.1,77.0497
7.2,77.0709
7.3,77.4558
7.4,77.5123
7.5,79.5309
7.6,90.6579
7.7,87.9389
7.8,86.9891
7.9,79.3538
8,77.1781
8.1,77.0022
8.2,77.2573
8.3,76.9647
8.4,77.0251
8.5,76.9644
8.6,78.6068
8.7,77.9452
8.8,77.8149
8.9,77.2275
9,78.4913
9.1,77.2506
9.2,76.9578
9.3,76.0254
9.4,76.4538
9.5,76.333
9.6,77.4697
9.7,78.5781
9.8,78.3157
9.9,77.1949
10,76.612
10.1,76.7372
10.2,76.7484
10.3,77.0118
10.4,79.5833
10.5,79.6505
10.6,78.9019
10.7,78.5568
10.8,76.9927
10.9,78.0959
11,77.4316
11.1,76.698
11.2,76.416
11.3,76.5271
11.4,76.4723
11.5,76.4834
11.6,76.4475
11.7,76.6803
11.8,76.8997
11.9,80.7491
12,79.358
12.1,76.8191
12.2,77.1587
12.3,76.6074
12.4,76.4485
12.5,76.4829
12.6,76.3932
12.7,76.4002
12.8,76.6343
12.9,77.0824
13,80.0703
13.1,79.465
13.2,77.1225
13.3,76.8566
13.4,76.4929
13.5,76.9138
13.6,77.289
13.7,76.942
13.8,77.2912
13.9,77.4618
14,76.7246
14.1,77.0379
14.2,77.4783
14.3,78.1
14.4,76.8807
14.5,77.6409
14.6,77.3465
14.7,76.8703
14.8,76.5994
14.9,77.2374
15,76.7873
15.1,76.3566
15.2,76.0979
15.3,75.8943
15.4,75.9869
15.5,76.6888
15.6,77.5446
15.7,80.8227
15.8,78.2378
15.9,78.9805
16,78.0289
16.1,83.4427
16.2,84.6497
16.3,80.9153
16.4,79.6916
16.5,80.9671
16.6,78.2135
16.7,76.7348
16.8,76.3843
16.9,75.3873
17,74.6209
17.1,74.6406
17.2,75.8434
17.3,84.2571
17.4,78.2397
17.5,75.3877
17.6,75.2577
17.7,75.0111
17.8,76.0836
17.9,76.367
18,83.5516
18.1,84.6029
18.2,75.4184
18.3,76.0167
18.4,75.3679
18.5,74.9671
18.6,75.204
18.7,75.4672
18.8,74.9073
18.9,74.6104
19,86.3566
19.1,82.6009
19.2,76.2925
19.3,75.5652
19.4,82.5303
19.5,89.1132
19.6,87.7585
19.7,74.9164
19.8,75.4692
19.9,76.2741
20,80.5901
20.1,83.0364
20.2,75.2914
20.3,75.1214
20.4,75.4156
20.5,75.1507
20.6,75.1236
20.7,74.9521
20.8,81.5422
20.9,75.6606
21,75.5702
21.1,79.3684
21.2,77.1808
21.3,79.3912
21.4,88.86
21.5,81.1468
21.6,75.5236
21.7,75.301
21.8,74.893
21.9,74.7629
22,74.8223
22.1,74.7354
22.2,74.7483
22.3,74.732
22.4,75.2158
22.5,75.8971
22.6,74.815
22.7,75.7417
22.8,75.0342
22.9,83.0634
23,78.362
23.1,76.8118
23.2,87.2903
23.3,80.7224
23.4,75.8082
23.5,74.9913
23.6,74.7499
23.7,74.9969
23.8,74.886
23.9,74.6466
24,74.8128
24.1,74.7585
24.2,74.7077
24.3,74.7256
24.4,74.9175
24.5,75.767
24.6,75.5869
24.7,76.5082
24.8,76.1077
24.9,76.0118
25,75.6125
25.1,76.3531
25.2,74.4372
25.3,75.9612
25.4,75.8946
25.5,77.7635
25.6,82.9836
25.7,75.8689
25.8,75.8558
25.9,75.636
26,74.8669
26.1,74.9942
26.2,75.1125
26.3,74.7806
26.4,74.7038
26.5,76.9601
26.6,75.6703
26.7,75.9147
26.8,76.2415
26.9,77.5235
27,78.4022
27.1,76.0159
27.2,75.5225
27.3,75.0331
27.4,74.853
27.5,74.8625
27.6,74.8285
27.7,75.0334
27.8,74.9819
27.9,74.8676
28,75.9957
28.1,76.5436
28.2,76.197
28.3,75.5683
28.4,77.1853
28.5,88.284
28.6,75.106
28.7,74.9441
28.8,74.828
28.9,74.8546
29,74.9015
29.1,74.8346
29.2,75.2608
29.3,75.8427
29.4,82.686
29.5,75.7758
29.6,74.819
29.7,79.2306
29.8,76.4109
29.9,84.8936
30,76.7147
30.1,80.3754
30.2,78.4965
30.3,75.8367
30.4,79.1398
30.5,76.7035
30.6,76.811
30.7,82.7351
30.8,83.4269
30.9,82.0532
31,75.5901
31.1,77.0741
31.2,78.7892
31.3,76.9644
31.4,75.798
31.5,77.3008
31.6,77.839
31.7,76.7419
31.8,77.6115
31.9,78.2772
32,74.7088
32.1,74.957
32.2,75.9771
32.3,79.6456
32.4,76.8008
32.5,78.3854
32.6,76.8291
32.7,75.073
32.8,76.2195
32.9,79.5112
33,80.804
33.1,80.1043
33.2,75.7366
33.3,79.3489
33.4,78.1153
33.5,76.3781
33.6,75.6618
33.7,74.5479
33.8,76.1978
33.9,79.4071
34,76.152
34.1,76.8649
34.2,80.3763
34.3,76.4409
34.4,76.9473
34.5,78.8576
34.6,78.328
34.7,77.5029
34.8,77.0625
34.9,75.0959
35,76.4106
35.1,80.8643
35.2,78.3124
35.3,77.0197
35.4,75.6043
35.5,76.9806
35.6,75.046
35.7,74.6008
35.8,74.4259
35.9,74.4293
36,74.6422
36.1,74.4974
36.2,75.7039
36.3,76.6991
